node_1,node_2,edge
Memory Consolidation,Long-Context Video Understanding,enables
MC-ViT,Memory Consolidation,uses
MC-ViT,pretrained video transformers,re-purposes
MC-ViT,past activations,attends to memories derived from
redundancy reduction,memory consolidation,leverages
MC-ViT,long-context video understanding,achieves state-of-the-art in
EgoSchema,long-context video understanding,benchmark for
Perception Test,long-context video understanding,benchmark for
Diving48,long-context video understanding,benchmark for
transformer-based video encoders,short temporal contexts,limited to
quadratic complexity,transformer-based video encoders,limits
transformer architectures,quadratic complexity,have limitation of
transformer architectures,tokens in natural videos,do not scale to vast number of
30 minutes of video,half a million tokens,may contain
current state-of-the-art architectures,optimized attention algorithms,use
long-context video understanding,EgoSchema,evaluated on
long-context video understanding,Perception Test,evaluated on
"Memory-Consolidated Vision Transformer (MC-ViT-{B,L})",public and large-scale proprietary models,surpasses
"Memory-Consolidated Vision Transformer (MC-ViT-{B,L})",fewer parameters,uses orders of magnitude
extending temporal context of video transformers,masking,includes method
extending temporal context of video transformers,attention approximations,includes method
extending temporal context of video transformers,parametric memory modules,includes method
long-context video understanding,memory consolidation,enables
pretrained video transformers,long-context understanding,repurposed for
memory bank,past segments,populated with consolidated activations from
streaming setting,short segments,bounds complexity by length of
parametric memory modules,long-context modeling,introduce additional complexity for
memory,reconstructive process,formulated as
fine-tuning,pretrained video transformers,adapts to attend to memory
