node_1,node_2,edge
Neural Diffusion Models,conventional diffusion models,generalization of
Neural Diffusion Models,time-dependent non-linear transformations,enables defining and learning
Neural Diffusion Models,variational bound,optimised using
Neural Diffusion Models,simulation-free setting,trained in
Neural Diffusion Models,time-continuous formulation,derives
time-continuous formulation,numerical ODE and SDE solvers,allows fast and reliable inference using
Neural Diffusion Models,image generation benchmarks,demonstrated utility on
Neural Diffusion Models,state-of-the-art results,achieves
conventional diffusion models,linear transformation,restricted to
broader family of transformations,reverse process,simplifies
broader family of transformations,true negative log-likelihood,closes gap between
variational approximation,true negative log-likelihood,closes gap with
Generative models,probabilistic machine learning models,are a subclass of
Generative models,data set,learn to mimic the underlying probability distribution of
Generative models,novel samples,can generate
Generative models,data augmentation,used for
Generative models,unsupervised learning,used for
Diffusion models,generative models,are a family of
Diffusion models,reverse process,parameterize data model through
reverse process,iterative refinement process,is a
reverse process,pure noise,builds up data from
forward process,auxiliary noising process,is an
forward process,data,adds noise to
reverse process,forward process,is optimized to resemble
diffusion models,fixed forward process,rely on
diffusion models,pre-specified forward process,rely on
forward process,task,unable to adapt to
forward process,data,unable to adapt to
modifications of forward processes,diffusion models,improve performance of
Neural Diffusion Models (NDMs),non-linear data transformations,enables
Neural Diffusion Models (NDMs),time-dependent data transformations,enables
Neural Diffusion Models (NDMs),learnable data transformations,enables
forward process,non-Markovian sequence of latent variables,constructed as
latent variable,transformation of the data,constructed through
transformation of the data,noise,injected with
forward process,reverse process,leveraged in
Neural Diffusion Models (NDMs),diffusion objective,generalizes
diffusion objective,simulation-free bound on log-likelihood,kept as
Neural Diffusion Models (NDMs),time-continuous analogue of objective function,derives
Neural Diffusion Models (NDMs),stochastic differential equation (SDE),derives
Neural Diffusion Models (NDMs),ordinary differential equation (ODE),derives
SDE,reverse process,corresponds to
ODE,reverse process,corresponds to
Neural Diffusion Models (NDMs),existing diffusion models,generalizes
Neural Diffusion Models (NDMs),learnable transformations of data,proposes new model with
learnable transformations of data,neural network,parameterized by
