node_1,node_2,edge
Pipelined DNN Inference,Pipeline parallelism,optimizes
Pipeline parallelism,Model graphs,partitions into k stages
Model graphs,k stages,partitioned into
k stages,Bottleneck stage,minimizes running time of
Bottleneck stage,Communication,includes
NP-hard problem,Pipeline parallelism,is a property of
Mixed-integer programming (MIP) relaxations,Lower bounds,proves
Lower bounds,Optimality gap,closes
Production models,Testbed,part of
k pipeline stages,MIP formulations,evaluated with
GPUs (graphics processing units),ML accelerators,type of
TPUs (tensor processing units),ML accelerators,type of
ML accelerators,fast memory,has co-located with each computational unit
ML accelerators,slow memory,has larger amount accessed via interconnect
fast memory,computational unit (CU),co-located with
slow memory,interconnect,accessed via
interconnect,computational units (CUs),shared among
deep neural network (DNN) training,peak performance,requires attention to data storage and flow
deep neural network (DNN) inference,peak performance,requires attention to data storage and flow
ML compiler,intermediate data,manages storage and flow of
practitioner,intermediate data,manages storage and flow of
this work,pipeline partitioning,addresses
pipeline partitioning,DNNs,for
pipeline partitioning,inference throughput,maximizes
inference pipeline,stages,consists of
Stage 2,bottleneck,is the
bottleneck,system throughput,limits
ML inference,model parameters (weights),handles
ML inference,model parameters,handles
ML inference,activations,handles
activations,fast memory,kept in
model parameters,slow memory,streamed from
model parameters,fast memory,cached in
pipelined inference,linear pipeline,partitioned into
linear pipeline,k stages,has
k stages,CUs,processed on different
pipelined inference,fast memory,increases amount of
pipelined inference,communication overhead,introduces challenge of minimizing
pipelined inference,bottleneck stage,throughput governed by
bottleneck stage,running time,requires balancing
practitioner’s dilemma,partitioning a model graph,involves
partitioning a model graph,8 processors,among
bottleneck processor,10ms,takes
