node_1,node_2,edge
NextCoder,code language models (LMs),is a robust adaptation of
code language models (LMs),code edits,lack ability to handle diverse types of
NextCoder,synthetic data generation pipeline,uses
NextCoder,robust model adaptation algorithm,uses
synthetic data generation pipeline,seed code examples,starts with
synthetic data generation pipeline,diverse editing criteria,uses
synthetic data generation pipeline,high-quality samples,generates
high-quality samples,original and modified code,comprises
high-quality samples,natural language instructions,includes
robust model adaptation algorithm,SeleKT,is named
SeleKT,dense gradient-based step,leverages
dense gradient-based step,weights important for code editing,identifies
SeleKT,sparse projection,performs
sparse projection,base model,projects onto
sparse projection,overfitting,avoids
NextCoder,QwenCoder-2.5,adapted from
NextCoder,five code-editing benchmarks,achieves strong results on
NextCoder,comparable size models,outperforms
NextCoder,several larger models,outperforms
approach,DeepSeekCoder,applied to
approach,QwenCoder,applied to
NextCoder-7B,code-editing model,is a
NextCoder-7B,QwenCoder-2.5-7B,fine-tuned from
NextCoder-7B,SeleKT algorithm,fine-tuned using
SeleKT algorithm,synthetic and real code editing tasks,trained on
code editing,fundamental ability,is a
code editing,automating software engineering activities,used in
code language models (LMs),code editing benchmarks,evaluated on
smaller and open-weight LMs,code editing,struggle with
approach,DeepSeekCoder,applied to
approach,QwenCoder,applied to
approach,other fine-tuning approaches,compared against
approach,robustness,demonstrates
robustness,retention of code generation,shown by
robustness,general problem-solving abilities,shown by
models,synthetic dataset,opensourced with
models,implementation,opensourced with
code language models (LMs),code editing,struggle with
code language models (LMs),natural language instructions,edit code based on
code language models (LMs),commit-data,incorporate in pre-training or fine-tuning
commit-data,GitHub,sourced from
commit messages,instructions,used as
code-edit requirements,code language models (LMs),enhance ability to handle
high-quality fine-tuning data,code language models (LMs),lack of
catastrophic forgetting,code language models (LMs),risk of
synthetic data generation pipeline,seed code examples,starts with
synthetic data generation pipeline,code editing aspects,uses diverse
code editing aspects,bug fixing,includes
code editing aspects,runtime improvement,includes
