node_1,node_2,edge
Shapley values,explaining black-box model predictions,used for
ViaSHAP,predictions,derived directly by summation
ViaSHAP,universal approximation theorem,based on
ViaSHAP,Kolmogorov-Arnold representation theorem,based on
ViaSHAP using Kolmogorov-Arnold Networks,state-of-the-art algorithms for tabular data,performs on par with
ViaSHAP,FastSHAP,more accurate than
FastSHAP,tabular data and images,applied to
machine learning algorithms,black-box models,result in
black-box models,explaining predictions,precludes
machine learning algorithms,black-box models,result in
black-box models,explainability,preclude
explainable machine learning methods,explainability,acquire
explainable machine learning methods,performance,without sacrificing
machine learning explanation methods,explanations,produce
local interpretable surrogate models,machine learning explanation methods,strategy used by
counterfactual examples,machine learning explanation methods,strategy used by
important features,machine learning explanation methods,strategy used by
Shapley values,machine learning explanation methods,strategy used by
Shapley values,unique solution,offer
unique solution,theoretical properties,meets a set of
Shapley values,explanations,used to generate
Shapley values,theoretically established desirable properties,meets a set of
Shapley values,computationally expensive,can be
Shapley values,running time,recent work focused on reducing
Shapley values,accuracy of approximations,recent work focused on enhancing
Shapley values,computational overhead,entail
FastSHAP,Shapley values,approximates
instance-based explanations,"data, time, and resources",demands
ViaSHAP,accurate predictions,trains a model to provide
ViaSHAP,Shapley values,simultaneously provides
ViaSHAP,universal approximation theorem,uses
ViaSHAP,Kolmogorov-Arnold representation theorem,uses
