node_1,node_2,edge
Protein language models (pLMs),protein structure and function,are powerful predictors of
Protein language models (pLMs),unsupervised training,learn through
Protein language models (pLMs),protein sequences,trained on millions of
pLM features,common motifs,are thought to capture
sparse autoencoders (SAEs),residual stream,trained on
sparse autoencoders (SAEs),ESM-2,trained on a pLM called
SAE features,generic features,include
SAE features,family-specific features,include
pLMs,protein,represent a
linear probing,SAE features,applied to
linear probing,thermostability,identifies sequence determinants of
linear probing,subcellular localization,identifies sequence determinants of
predictive features,unknown functional associations,may have
predictive features,unknown mechanisms,hypothesized to play a role in
SAE features,biological mechanisms,help generate hypotheses for
SAE features,biological mechanisms,used to help generate hypotheses for
Protein language models (pLMs),protein sequences,trained on
Protein language models (pLMs),representations of proteins,learn
representations of proteins,downstream tasks,useful for
downstream tasks,protein structure,includes
downstream tasks,protein function,includes
pLMs,protein biologist’s toolkit,growing component of
previous work,pLMs,suggests do not learn biophysics of proteins
pLMs,common sequence motifs and contacts,store
pLM performance,features learned in early layers,driven by
pLM performance,pre-training,does not scale well with
mechanistic interpretability,path,points to
pLMs (protein Language Models),proteins,learns about
mechanistic interpretability,pLMs (protein Language Models),points to a path forward for understanding
Sparse autoencoders (SAEs),interpretable features,extract
Sparse autoencoders (SAEs),large language models (LLMs) like GPT-4 and Claude,successfully applied to
SAEs,model activations,decompose
SAE features,inner workings of complex models,provide a window into
SAEs,pLMs,trained on
SAE features from pLMs,patterns in protein sequences,could unveil
ESM-2,pLM,is a widely used
InterProt,SAE latents,visualizes activations on protein sequences and structures
SAE latents,concepts from secondary structure elements to entire domains,correspond to
SAE latents,ESM baseline,rated as more interpretable in human evaluation
