node_1,node_2,edge
smooth convex-concave bilinearly-coupled saddle-point problem,"minx maxy f(x) + ⟨y, Bx⟩ − g(y)",is defined as
function f(x),strongly convex,can be
function g(y),affine,can be
lower bounds,number of gradient evaluations,exist for
lower bounds,matrix-vector multiplications,exist for
optimal algorithms,lower bounds,match
optimal algorithms,linear convergence,attain
linear convergence,number of iterations proportional to log(1/ϵ),means
class of bilinearly-coupled saddle-point problems,linear convergence,can achieve
class of bilinearly-coupled saddle-point problems,general smooth non-strongly convex functions f(x) and g(y),involves
lower complexity bounds,existing results in the literature,cover and unify
algorithm,separation of complexities,implements
separation of complexities,optimal gradient evaluation,enables simultaneous achievement of
separation of complexities,optimal matrix-vector multiplication,enables simultaneous achievement of
saddle-point optimization problem,bilinear coupling function,has
saddle-point optimization problem,"min x∈X max y∈Y [F(x,y) = f(x) + ⟨y, Bx⟩ − g(y)]",formulated as
f(x),convex and smooth function,is
g(y),convex and smooth function,is
B,coupling matrix,is
saddle-point problems,economics,appears in
saddle-point problems,game theory,appears in
saddle-point problems,statistics,appears in
saddle-point problems,machine learning,has applications in
machine learning,supervised learning,includes
machine learning,reinforcement learning,includes
machine learning,computer vision,includes
machine learning,robust optimization,includes
machine learning,distributed optimization,includes
computer vision,Chambolle & Pock (2011),cited in relation to
robust optimization,Ben-Tal & Nemirovski (2002),cited in relation to
robust optimization,Liu et al. (2017),cited in relation to
distributed optimization,Lan et al. (2020),cited in relation to
distributed optimization,Scaman et al. (2018),cited in relation to
distributed optimization,Kovalev et al. (2021),cited in relation to
distributed optimization,Yarmoshik et al. (2024),cited in relation to
distributed optimization,Kovalev et al. (2024),cited in relation to
training of generative adversarial networks,Mescheder et al. (2017),cited in relation to
training of generative adversarial networks,Nagarajan & Kolter (2017),cited in relation to
first-order methods,linear convergence,related to
first-order methods,high-dimensional spaces,used in
first-order methods,gradients,use evaluation of
first-order methods,matrix-vector multiplication,use
smooth function,Lipschitz-continuous gradient,defined by
smooth convex-concave bilinearly-coupled saddle-point optimization,first-order methods,solved by
