node_1,node_2,edge
Kernel Stein discrepancy (KSD),goodness-of-fit measure,is an instance of
Kernel Stein discrepancy (KSD),Stein operator,defined by
Stein operator,fixed-dimensional spaces,applies to
Kernel Stein discrepancy (KSD),variable-dimension setting,extended to
KSD goodness-of-fit test,unnormalized densities,evaluates
sequential data,variable dimensionality,has
generative models,Markov models,example of
topic modeling,text documents,applied to
data point,collection of observations,is defined as
topic modeling,text documents,applied to
sample,distribution Q,drawn from
distribution Q,sample space X,defined on
sample space X,set of all possible sequences,example of
task,quantify discrepancy,aims to
discrepancy,distribution P,of
distribution P,distribution Q,models
approach,generating samples,involves
generating samples,model,from
sample-based discrepancy measure,maximum mean discrepancy (MMD),example of
maximum mean discrepancy (MMD),"Gretton et al., 2012",introduced by
maximum mean discrepancy (MMD),"Lloyd & Ghahramani, 2015",also referenced by
disadvantage,requires many samples,is that
sequence model,transition,misspecifies
transition,history,from given
MMD approach,state space,becomes less efficient as
MMD approach,length of history,becomes less efficient as
MMD approach,state space,becomes less efficient as state space enlarges
MMD approach,history length,becomes less efficient as history length grows
MMD approach,repeated sampling,necessitates repeated sampling
model-dependent measure,Stein's method,derived from
Stein's method,probability theory,technique from
Stein's method,rates of convergence to normality,developed to obtain
Stein operator,Stein's method,key construct from
Stein operator,distribution-specific operator,is a
Stein operator,zero-expectation function,modifies a function to have
model-specific Stein operator,Stein operator,is a type of
model-specific Stein operator,zero-expectation function,constructs
expectation under sample distribution,discrepancy measure,serves as
non-zero expectation,deviation from the model,indicates
Stein discrepancy,worst-case summary,is a
Stein discrepancy,Gorham & Mackey (2015),proposed by
kernel Stein discrepancy (KSD),Stein discrepancy,is an instance of
kernel Stein discrepancy (KSD),reproducing kernel Hilbert space (RKHS),uses functions from
kernel Stein discrepancy (KSD),goodness-of-fit testing,framework for designing
