node_1,node_2,edge
Machine learning techniques,formal correctness guarantees,lack
adversarial examples,deep-learning applications,plague
formal verification techniques,Deep Neural Networks (DNNs),aim at verifying
formal verification techniques,scalability and precision challenges,face
over-approximation,formal verification process,introduced during
over-approximation,inconclusive analysis,results in
Verification-Friendly Neural Networks (VNNs),post-training optimization framework,generated by
post-training optimization framework,balance between prediction performance and verification-friendliness,achieves
VNNs,original DNNs,comparable in prediction performance
VNNs,formal verification techniques,amenable to
VNNs,robustness,establish for more VNNs than DNN counterparts
Deep Neural Networks (DNNs),formal correctness guarantees,suffer from lack of
Deep Neural Networks (DNNs),adversarial examples,demonstrated by
adversarial examples,deep learning domain,occur in
lack of formal correctness guarantees,safety-critical applications,presents a major challenge in
verification frameworks for DNNs,lack of formal correctness guarantees,proposed to address
verification frameworks for DNNs,poor scalability,suffer from
poor scalability,verification frameworks for DNNs,motivates initiatives to improve
Verification-Friendly Neural Networks (VNNs),verification frameworks for DNNs,contrast to majority of
Verification-Friendly Neural Networks (VNNs),efficiency,allow more
Verification-Friendly Neural Networks (VNNs),DNNs,"compared with, maintaining on-par prediction performance"
Verification-Friendly Neural Networks (VNNs),verification efficiency,allows more efficiency in terms of time
Verification-Friendly Neural Networks (VNNs),verified samples,allows more verified samples
verification frameworks,over-approximation,based on
over-approximation,forward pass,accumulates/amplifies along
VNNs,sparsity,enforced by optimization problem
sparsity,performance/robustness requirements,constrained to satisfy
VNNs,verification tools,allows to establish robustness for wider range of samples
VNNs,regularization role,plays
sparsity,robustness,leads to more robust VNNs
VNNs,MNIST dataset,evaluated on
VNNs,verification time,less than original DNNs (up to one-third)
VNNs,verified samples count,allows verification of up to 76 times more samples
