node_1,node_2,edge
Flowing Datasets,Wasserstein over Wasserstein Gradient Flows,is the subject of the paper
Probability distributions,Machine learning,are used as data representation in
Labeled datasets,Probability distributions over probability distributions,are modeled as
Wasserstein over Wasserstein distance,Space of probability distributions over probability distributions,endows metric structure on
Wasserstein over Wasserstein gradient flows,Objective functional,decreases
Transfer learning,Wasserstein over Wasserstein gradient flows,is an application of
Dataset distillation,Wasserstein over Wasserstein gradient flows,is an application of
Maximum Mean Discrepancies,Sliced-Wasserstein based kernels,takes the form of
Sliced-Wasserstein based kernels,Probability distributions,are between
tractable functionals,Maximum Mean Discrepancies,take the form of
Maximum Mean Discrepancies,Sliced-Wasserstein based kernels,use
Sliced-Wasserstein based kernels,probability distributions,applied between
Probability measures,data types,represent
Wasserstein space,probability distributions,is the space of
Wasserstein space,Wasserstein-2 distance,equipped with
Wasserstein-2 distance,Optimal Transport,derived from
Wasserstein space,embedding of data,used for
random measures,probability measures over probability measures,also known as
random measures,labeled datasets,represent as mixtures
Wasserstein over Wasserstein distance (WoW),Hierarchical OT distance,also known as
Wasserstein over Wasserstein distance (WoW),Wasserstein distance,lifts as ground cost
Wasserstein over Wasserstein distance (WoW),random measures,defines distance between
Wasserstein over Wasserstein distance (WoW),generative modeling,used for
Wasserstein over Wasserstein distance (WoW),domain adaptation,used for
Wasserstein over Wasserstein distance (WoW),comparing documents,used for
Wasserstein over Wasserstein distance (WoW),multilevel clustering,used for
Wasserstein over Wasserstein distance (WoW),Gaussian mixtures,used to compare
Wasserstein over Wasserstein distance (WoW),generic mixtures,used to compare
Wasserstein over Wasserstein distance (WoW),poor sample complexity,has
poor sample complexity,alternative distance measures,motivated development of
alternative distance measures,Integral Probability Metrics,based on
space of random measures,Riemannian structure,possesses
Riemannian structure,geodesics,enables definition of
