node_1,node_2,edge
Generative mixed-modal language models,Scaling laws,are the subject of
Generative mixed-modal language models,sequences of tokens,define distributions over
data modalities,image tokens from VQ-VAEs,include
data modalities,speech tokens from HuBERT,include
data modalities,BPE tokens for language or code,include
Mixed-modal scaling laws,individual modalities,unify contributions of
Mixed-modal scaling laws,interactions between modalities,unify contributions of
Mixed-modal scaling laws,previous unimodal scaling laws,additive term to
optimal synergy and competition,data and model size,due to
optimal synergy and competition,additive term,modeled as
emergent coordinate-ascent style training,modalities,alternates between
mixed-modal competition,training stability,connected to
scaling law,30B speech-text model,tested by training
30B speech-text model,unimodal models,outperforms
30B speech-text model,unimodal models,outperforms
mixed-modal generative models,unified models,is a type of
generative language models,natural language text,developed for
generative language models,code,developed for
generative language models,images,developed for
generative language models,molecules or proteins,developed for
unified models,multiple modalities,models simultaneously
generative modeling,model quality,improves with scaling
scaling trends,uni-modal models,studied for
scaling behavior,mixed-modal generative models,focus of research
mixed-modal generative language models,scaling laws,subject of empirical study
modalities,tokens,represented as sequences of
VQ-VAEs,images,used for tokenization of
HuBERT,speech,used for tokenization of
mixed-modal models,single discrete language model,trained as
modalities,competition,exhibit inherent
modalities,synergy,can progress into
scaling law,individual modalities,reflects contributions of
scaling law,interaction between modalities,includes additional term for
mixed-modal scaling laws,competition between modalities,directly model
mixed-modal scaling laws,data and model regimes,predict
