node_1,node_2,edge
MOCCASIN,tensor rematerialization,is a constraint programming formulation for
tensor rematerialization,neural networks,addresses memory requirements for
edge computing devices,neural networks,pose challenges for deployment and training of
memory budget,execution time minimization,is a constraint for
compute graph,neural networks,represents the structure of
MOCCASIN,integer variables,uses O(n) integer variables
MOCCASIN,Boolean variables,improves over formulations with O(n^2) Boolean variables
large-scale graphs,MOCCASIN,is faster for
local memory,global memory,is faster to access than
local memory,intermediate output tensors,stores
GPU's local GDDR memory,DDR memory,is faster than
local memory,main memory,is a subset of
local memory footprint,latency targets,affects
global memory accesses,computation speed,slows down
global memory accesses,meeting latency targets,can be too slow for
on-device training,limited resources,stresses
on-device training,intermediate data for gradient back-propagation,requires storing
DNN computation sequencing,local memory footprint,manages
operation sequencing,DNN computation sequencing,is a technique of
rematerialization,DNN computation sequencing,is a technique of
rematerialization,input data,recomputes
rematerialization,local memory,reduces occupation of
rematerialization,memory footprint,reduces
deciding what operations to rematerialize,optimizing latency and memory-use,is a PSPACE-complete problem for
rematerialization research,managing register use by compilers,has history in
