node_1,node_2,edge
Mechanistic Knowledge Localization,Text-to-Image Generative Models,is a concept applied to
Causal tracing,Stable-Diffusion variants,used to identify knowledge localization in
First layer of CLIP text-encoder,Stable-Diffusion variants,confines knowledge in early
Knowledge,UNet,diffuses throughout
Causal tracing,SD-XL,fails to pinpoint localized knowledge in
Causal tracing,DeepFloyd,fails to pinpoint localized knowledge in
Mechanistic localization,visual attributes,localizes knowledge about
Visual attributes,style,includes
Visual attributes,objects,includes
Visual attributes,facts,includes
Mechanistic localization,UNet,localizes knowledge to a small fraction of layers in
LOCOGEN,mechanistic localization,is a method for
LOCOGEN,cross-attention layers of UNet,performs interventions in
LOCOEDIT,text-to-image models,is a fast closed-form editing method for
LOCOEDIT,SD-XL,applied to
Model editing,closed-form updates,facilitated by
text-to-image models,SD-XL,includes
text-to-image models,neuron-level model editing,explores possibilities of
mechanistic localization,text-to-image model editing,offers better view of successes and failures in
diffusion-based text-to-image generative models,Stable-Diffusion,includes example
diffusion-based text-to-image generative models,Imagen,includes example
diffusion-based text-to-image generative models,DALLE,includes example
text-to-image models,image generation and editing capabilities,have
text-to-image models,FID scores,evidenced by
FID scores,MS-COCO,benchmarked on
text-to-image models,LAION-5B,trained on
LAION-5B,image-text pairs,contains
text-to-image models,visual concepts,encapsulates
visual concepts,color,encompasses
visual concepts,artistic styles,encompasses
visual concepts,objects,encompasses
visual concepts,renowned personalities,encompasses
interpretability framework,causal tracing,uses
causal tracing,location of knowledge about styles,traces
causal tracing,interpretability framework,is used as
causal tracing,intermediate layers,finds indirect effects of
causal tracing,knowledge localization,identifies
knowledge,visual attributes,about
knowledge,UNet,distributed in
knowledge,CLIP text-encoder,localized in unique causal state
unique causal state,text-encoder,located in
unique causal state,editing text-to-image models,can be leveraged for
Basu et al. (2023),causal tracing,designs framework using
Basu et al. (2023),Stable-Diffusion-v1-5,restricted to
causal tracing,Stable-Diffusion-v1-5,successful for
causal tracing,Stable-Diffusion-v2-1,successful for
causal tracing,SD-XL,fails for
causal tracing,DeepFloyd,fails for
UNet,causal states,distributes
causal states,open-source text-to-image models,distributed across
DeepFloyd,open-source text-to-image models,excluded from
