node_1,node_2,edge
Distributed Mean Estimation (DME),Federated Learning,is a fundamental building block in
Federated Learning,parameter server,clients send model updates to
parameter server,mean of gradients,calculates
QUIC-FL,Distributed Mean Estimation (DME),is a method that improves on
QUIC-FL,encoding and decoding times,achieves faster
Normalized Mean Squared Error (NMSE),Distributed Mean Estimation (DME),is a guarantee for
clients,gradients,send
gradients,parameter server,are sent to
Federated learning,Gradient collection,involves
Gradient collection,Communication bottleneck,causes
Communication bottleneck,Compression,alleviated by
Compression,Distributed Mean Estimation (DME),uses as building block
Distributed Mean Estimation (DME),Gradient communication,used for
Distributed Mean Estimation (DME),Acceleration mechanisms,part of
Distributed Mean Estimation (DME),Clients,involves
Clients,Parameter server,send approximations to
Parameter server,Mean estimation,performs
server,vectors’ mean,estimates
Distributed Mean Estimation (DME),input vectors,preprocesses
input vectors,different representation,transformed into
different representation,better compression,allows
Randomized Hadamard Transform (RHT),vector,preprocesses
Randomized Hadamard Transform (RHT),stochastic quantization,applied before
transformed vector,coordinate range,has smaller
smaller coordinate range,quantization error,reduces
server,transformed vectors,aggregates
server,inverse transform,applies
inverse transform,mean,estimates
Hadamard method,Normalized Mean Squared Error (NMSE),has bounded
entropy encoding,NMSE,achieves optimal
entropy encoding,GPU execution,does not efficiently translate to
Kashin’s representation,client’s vector,computes
Kashin’s representation,quantization,applied before
