node_1,node_2,edge
Self-attention,Holographic Reduced Representations (HRR),recast using
Hrrformer,Self-attention,implements strategy of
Hrrformer,Holographic Reduced Representations (HRR),based on
Self-attention,Transformers,is core mechanism of
Transformers,long sequence lengths,has high cost for
Hrrformer,time complexity,has O(T H log H)
Hrrformer,space complexity,has O(T H)
Hrrformer,malware detection,applied to
Hrrformer,Long Range Arena (LRA) benchmarks,achieves near state-of-the-art accuracy on
Hrrformer,single layer,learns with just
Self-attention,Transformers,is a fundamental component of
Transformers,machine translation,used in
Transformers,large language modeling,used in
Transformers,computer vision,used in
Self-attention,"queries, keys, and values",includes
"queries, keys, and values",weighted average over the values,produces
Hrrformer,self-attention models,is a type of
Hrrformer,EMBER malware classification dataset,evaluated on
Hrrformer,best accuracy,achieves
Hrrformer,longer sequences,scales to
H-Transformer-1D,Long Range Arena,evaluated by
Luna-256,Long Range Arena,evaluated by
self-attention,"queries, keys, and values",includes triplet of
self-attention,quadratic memory and computational complexity,results in
quadratic memory and computational complexity,Transformers,inhibited use of
quadratic memory and computational complexity,applications to longer sequences,prevented
self-attention mechanism,approaches,approximated by myriad of
approaches,accuracy,trade for speed or memory use
self-attention strategies,trade-offs,offer various
Hrrformer,self-attention,recasts with Holographic Reduced Representations
Hrrformer,accuracy,near state-of-the-art in terms of
Hrrformer,original Transformer,improves upon for all tasks in LRA
Hrrformer,speed and memory use,sets new benchmark for
Hrrformer,best prior art,processes 28× more samples/second and uses 79.15% less memory than
