node_1,node_2,edge
Large language models (LLMs),world knowledge,store
Large language models (LLMs),question-answering,extract knowledge via
knowledge extraction,training data diversity,correlated with
knowledge,augmentation,requires for reliable extraction
augmentation,paraphrasing,includes
augmentation,sentence shuffling,includes
knowledge,memorization,distinct from extraction
knowledge extraction,linear probing,analyzed via
linear probing,internal knowledge encoding,reveals
internal knowledge encoding,hidden embeddings of entity names,can be linearly encoded in
internal knowledge encoding,token embeddings,can be distributed across
LLM pretraining,rewriting pretraining data,recommendation for
rewriting pretraining data,auxiliary models,uses
LLM pretraining,rewrite pretraining data,recommendation for
rewrite pretraining data,small auxiliary models,uses
rewrite pretraining data,knowledge augmentation,provides
LLM pretraining,incorporate instruction-finetuning data,recommendation for
incorporate instruction-finetuning data,pretraining stage,integrated into
knowledge,human cognition,crucial for
knowledge,communication,crucial for
memorization,knowledge,process for storing and retrieving
memorization,entities relations facts,enables recognition of
memorization,logical causal reasoning,enables application of
transformer-based language models,memorization of knowledge,perform during training
memorization of knowledge,extraction during inference,is followed by
in-context learning,RAG,are distinct from
factual knowledge,knowledge graph,is exemplified by
language model,training corpus,memorizes from
language model,weights,encodes knowledge in
memorization of knowledge,traditional memorization,is differentiated from
traditional memorization,fitting exact training data,means
memorization of knowledge,extracting knowledge flexibly,implies
