node_1,node_2,edge
Unsupervised environment design,reinforcement learning agents,trains on environment configurations generated by an adversary
Unsupervised environment design,adversary,generates environment configurations to maximise an objective
Regret,minimax regret (MMR) policy,is an objective that theoretically results in
minimax regret (MMR) policy,robustness guarantees,provides
minimax regret (MMR) policy,agent’s maximum regret,bounds
adversary,levels where regret cannot be further reduced,samples only after agent reaches regret bound
learning stagnation,regret-maximising levels,occurs when training only on
Bayesian level-perfect MMR (BLP),minimax regret objective,is a refinement of
Bayesian level-perfect MMR (BLP),subset of MMR policies,results in
BLP policies,Perfect Bayesian policy,acts consistently with over all levels
ReMiDi,BLP policy,results in at convergence
minimax regret adversary,learning stagnation,causes premature
ReMiDi,learning stagnation,overcomes by continuing learning
Unsupervised environment design (UED),deep reinforcement learning (RL) agents,generates training curriculum of environments for
Regret-based UED,adversary,trains to select environment configurations
adversary,environment configurations (levels),selects
environment configurations (levels),agent’s regret,maximise
agent’s regret,difference in performance,is defined as
difference in performance,optimal policy,between agent and
regret stagnation problem,minimax regret,is a problem of
Regret-based UED methods,high regret environments (T-mazes),gravitate towards sampling
high regret environments (T-mazes),agent cannot improve,even if
non-high-regret levels (mazes),agent can still improve,on which
regret,agent,measures how much better an agent could perform
regret-maximising levels,generalisation,training on these levels improves generalisation to out-of-distribution levels
UED methods,minimax regret policy,"at equilibrium, UED methods theoretically result in a minimax regret policy"
minimax regret (MMR) policy,zero regret,"at convergence, MMR policy would achieve zero regret for each level"
MMR-based UED methods,highest regret levels,prioritise sampling the highest regret levels
irreducible regret levels,agent,"agent cannot simultaneously perform optimally on these levels, causing irreducible regret"
