node_1,node_2,edge
DEFAME,Dynamic Evidence-based FAct-checking with Multimodal Experts,acronym for
DEFAME,"modular, zero-shot MLLM pipeline",is a
DEFAME,"open-domain, text-image claim verification",performs
DEFAME,six-stage process,operates in
DEFAME,textual and visual evidence,extracts and evaluates
DEFAME,"structured, multimodal reports",generates
DEFAME,VERITE,evaluated on benchmark
DEFAME,AVERITEC,evaluated on benchmark
DEFAME,MOCHEG,evaluated on benchmark
DEFAME,CLAIMREVIEW2024+,introduces new multimodal benchmark
DEFAME,GPT-4O,outperforms
DEFAME,state-of-the-art fact-checking system,establishes itself as
CLAIMREVIEW2024+,multimodal benchmark,is a
CLAIMREVIEW2024+,claims after knowledge cutoff of GPT-4O,features
misinformation,fact-checking,demands
misinformation,human capacity to fact-check,exceeds
Fake news,global threat,evolved into
misinformation,social media engagement rates,driven by
misinformation,AI use,driven by
misinformation,broader audience,reaches
misinformation,greater harm,causes
multimodal information,credibility,perceived as more
visuals,evidence,interpreted as
multimodal content,professional fact-checkers,checked by
Automated Fact-Checking (AFC) systems,text-only,mostly
Automated Fact-Checking (AFC) systems,text-only,are mostly
visual claim verification,Automated Fact-Checking (AFC) systems,few works venture into
multimodal claim verification systems,evidence retrieval,cannot retrieve
AFC works,evidence retrieval,focus on
AFC works,evidence summarization,focus on
AFC works,evidence ranking,focus on
multimodal claims,multimodal evidence,cannot handle both at once
DEFAME,Dynamic Evidence-based Fact-checking with Multimodal Experts,stands for
DEFAME,multimodal claim verification,addresses
