node_1,node_2,edge
Behavior Cloning (BC),visual imitation learning,is a type of
Behavior Cloning (BC),robot manipulation,applied in
Behavior Cloning (BC),latent representations,learns
latent representations,redundant information,may contain
mutual information,redundancy,quantifies
Information Bottleneck (IB) principle,redundancy,reduces
Information Bottleneck (IB) principle,task-relevant features,preserves
Information Bottleneck (IB) principle,Behavior Cloning (BC),extends generalizability to
CortexBench,LIBERO,are benchmarks used for evaluation
IB,performance improvements,shows consistent
Behavior Cloning (BC),Imitation Learning (IL),is a method used in
Behavior Cloning (BC),state-action pairs,trains on
Behavior Cloning (BC),expert demonstrations,learns from
Behavior Cloning (BC),autonomous driving,is studied in
Behavior Cloning (BC),robotics control,is studied in
Behavior Cloning (BC),game AI,is studied in
Behavior Cloning (BC),robot manipulation,is a foundational approach in
IB,LIBERO benchmarks,shows performance improvements in
IB,input data redundancy,reduces
IB,real-world applications,has practical value for
current BC methods,latent representations Z,do not impose restrictions on
latent representations Z,input representations X,may contain redundant information from
Behavior Cloning (BC),robot manipulation,applied to
Behavior Cloning (BC),large datasets of human or manipulation videos,incorporates
Behavior Cloning (BC),additional text and visual information,integrates
Behavior Cloning (BC),input representations,encodes inputs into
input representations,latent representations,transformed into
latent representations,actions,used to predict
input data redundancy,policy performance,impacts
input data redundancy,generalization,affects
redundancy reduction,theoretical foundation,lacks
redundancy reduction,input representations,applied to
redundancy reduction,latent representations,applied to
proprioceptive state,input representations,part of
visual observation,input representations,part of
text,input representations,part of
