node_1,node_2,edge
constrained decoding,formal language constraints,enforces
constrained decoding,performance overhead,incurs
constrained decoding,task accuracy,impairs
DOMINO,constrained decoding,is a novel algorithm for
DOMINO,subword-aligned constraints,enforces
DOMINO,pre-computation,leverages
DOMINO,speculative decoding,leverages
DOMINO,speedup,achieves
greedy constraining,sub-optimal tokenization,induces
greedy constraining,LLMs,overly-invasive constraining of
Constrained Decoding,Large Language Models (LLMs),method that restricts the decoding procedure of
Constrained Decoding,syntactic constraints,ensures adherence to
Constrained Decoding,syntactically valid tokens,only permits
Constrained Decoding,high-level templates,can adhere to constraints like
Constrained Decoding,regular expressions,can adhere to constraints like
Constrained Decoding,context-free grammars,can adhere to constraints like
Greedy constraining,tokenization,can distort
Greedy constraining,unconstrained decoding,leads to different output than
unconstrained generation,valid output,would produce
Constrained decoding,LLM,applied to
Constrained decoding,syntactic constraints,adheres to
Constrained decoding,ad-hoc parsing,reduces need for
Constrained decoding,fine-tuning,eliminates need for
Constrained decoding,post-processing,eliminates need for
Token Misalignment,constrained decoding,key challenge in
Token Misalignment,LLM sub-word token,caused by
Token Misalignment,syntactic constraint,misalignment with
LLM vocabulary,syntactic constraint,interfaced via constrained decoding
Naive constrained decoding,sub-optimal tokens,introduces
Sub-optimal tokens,LLM distribution,diverges from unconstrained case
Diverged distribution,reasoning performance,decreases
Decreased reasoning performance,downstream accuracy,reduces
Naive constrained decoding,high perplexity tokens,produces
