node_1,node_2,edge
Block Subsampled Randomized Hadamard Transform,Subsampled Randomized Hadamard Transform,composed blockwise from
Block Subsampled Randomized Hadamard Transform,dimension reduction maps,expected to outperform
Block Subsampled Randomized Hadamard Transform,oblivious subspace embedding,is an
oblivious subspace embedding,approximate isometry,defined as
Block Subsampled Randomized Hadamard Transform,Nyström method,incorporated into
Nyström method,low-rank approximation,computes
Nyström method,distributed architectures,implemented on
randomized methods,numerical algebra,used in
randomized methods,data science,used in
randomized methods,deterministic methods,can solve problems of dimensions beyond the reach of
randomized methods,computational resources,allow effective use of
randomized methods,reliability,have become very reliable
randomized methods,accuracy guarantees,provide strong accuracy guarantees with
accuracy guarantees,failure probability,associated with user-specified
failure probability,computational costs,can be chosen extremely low without much impact on
randomized methods,dimension reduction,based on
dimension reduction,sketching,called
sketching,oblivious ℓ2-subspace embeddings (OSEs),uses
random matrix Ω,oblivious ℓ2-subspace embeddings (OSEs),is defined as a
random matrix Ω,d-dimensional subspace V,satisfies inequality for any fixed
Johnson-Lindenstrauss lemma,OSE,implies existence of
OSE,dimension reduction,enables
Gaussian distribution,OSE,satisfies property of
Rademacher distribution,OSE,satisfies property of
sub-sampled randomized Hadamard transform (SRHT),OSE,satisfies property of
sub-sampled randomized Fourier transform,OSE,satisfies property of
CountSketch matrix,OSE,satisfies property of
SRHT,sequential computational environment,efficient in
Rademacher matrix,highly parallel environment,efficient in
block SRHT,OSE,is a novel type of
block SRHT,distributed computational architecture,superior in
