node_1,node_2,edge
Human priors,Social networks,quantified over
Human priors,Navigation networks,quantified over
Graphs,Human priors,combinatorial structure used to quantify
Social interaction,Spatial navigation,domains of evolutionary relevance
Sparsity,Graph size,tendency for as a function of
Triadic closure,Social interactions,propensity for in
Inductive biases,Learning,central role in
Priors,Perception and cognition,elucidates aspects of
Efficient coding hypothesis,Neural representations,states that adapted to
neuroscience,efficient coding hypothesis,understood through the lens of
efficient coding hypothesis,neural representations,states that
neural representations,environment,efficiently encode relevant statistics of
efficient coding hypothesis,neural code,contributed to advances in understanding
mammalian visual cells,natural scenes,optimized for transmitting information about
mammalian cochlea,acoustic structure of speech and natural sounds,allows efficient representation of
auditory nerve fibers,acoustic structure of speech and natural sounds,allows efficient representation of
visual attention,efficient coding,displays analogous properties to
working memory,efficient coding,displays analogous properties to
efficient coding,visual illusions,explains
efficient coding,visual illusions,explains
priors,exhaustive,cannot be both
priors,efficient,cannot be both
priors,visual information,distinguishes
priors,insignificant differences,renders blind to
tasks,relational,are often
humans,web of things (nodes),confronted with
web of things (nodes),relations (edges),structured in terms of
learning of network structure,random walks,from
random walks,temporal sequence,respects structure of network
humans,initial beliefs,quantifies
initial beliefs,networks,about
