node_1,node_2,edge
Adaptive IMLE,Implicit Maximum Likelihood Estimation (IMLE),is a generalized formulation of
Implicit Maximum Likelihood Estimation (IMLE),GANs,is an alternative to
GANs,few-shot setting,difficult to apply in
GANs,mode collapse,suffers from
mode collapse,overfitting,causes
Implicit Maximum Likelihood Estimation (IMLE),mode coverage,encourages
Adaptive IMLE,varying difficulty of different training examples,adapts to
Adaptive IMLE,few-shot image synthesis datasets,outperforms existing methods on
Image synthesis,deep learning,has achieved significant progress with
GANs,deep generative models,is a type of
VAEs,deep generative models,is a type of
diffusion models,deep generative models,is a type of
score-based models,deep generative models,is a type of
normalizing flows,deep generative models,is a type of
autoregressive models,deep generative models,is a type of
deep generative models,photorealistic images,can generate
deep generative models,large-scale datasets,require training on
limited number of training examples,real-life scenarios,are available in
orphan diseases,medical domain,is an example of limited training data in
rare events,autonomous driving agents,is an example of limited training data for
few-shot unconditional image synthesis,auxiliary pre-training,setting without
training examples,orphan diseases,example of scarcity in
training examples,rare events,example of scarcity in
fine-tuning,pre-trained model,method to address data scarcity
pre-trained model,large auxiliary datasets,trained on
large auxiliary datasets,similar domains,from
auxiliary dataset,task at hand,similarity to
insufficient similar auxiliary dataset,image quality,adversely impacts
few-shot setting,many-shot setting,contrasted with
few-shot setting,generative models,requires full use of training data
many-shot setting,abundant training data,characterized by
GANs,few-shot setting,challenging to apply due to
mode collapse,generator,problem where
mode collapse,subset of training images,learns only from
Implicit Maximum,alternative technique,proposed as
