node_1,node_2,edge
Differentially Private Distributed Bayesian Linear Regression,Bayesian inference framework,is a type of
Differentially Private Distributed Bayesian Linear Regression,distributed setting,operates in
multiple parties,parts of the data,hold
multiple parties,summary statistics,share
summary statistics,privacy-preserving noise,are shared in
generative statistical model,privately shared statistics,models
generative statistical model,distributional relation,exploits
distributional relation,summary statistics of linear regression,relates to
Bayesian estimation,regression coefficients,estimates
Markov chain Monte Carlo algorithms,Bayesian estimation,used for
fast version,approximate Bayesian estimation,performs
proposed methods,competitors,have computational advantages over
linear regression,statistical research,lies at the core of
privacy-preserving statistical learning,differential privacy,uses as definition for privacy
differential privacy,privacy definition,is the most commonly used
differential privacy,linear regression,applied to
differentially private empirical risk minimisation,regression,can be applied to
Bayesian differentially private estimation,regression,can be used in
hierarchical model,privatised data,used for
Bayesian estimation,model parameters,used for
differential privacy mechanisms,posterior sampling,used for
differential privacy mechanisms,linear regression,suggested for
posterior sampling,linear regression,used for
posterior sampling query algorithm,differential privacy,combines
posterior sampling query algorithm,Bayesian inference,combines
differentially private Markov chain Monte Carlo (MCMC) algorithms,posterior distribution,identifies via iterative sampling
differentially private Markov chain Monte Carlo (MCMC) algorithms,regression,applied to
functional mechanism method,differentially private regression,related to
functional mechanism method,polynomial objective functions,perturbs with privacy-preserving noise
perturbation of summary statistics,differentially private regression,alternative approach for
point estimation methods,differentially private simple linear regression,discussed for
confidence intervals,coefficients of linear regression,computed for
output perturbation,parameter estimation,used for convergence rates study with differential privacy
output perturbation,non-private estimator,perturbs
