node_1,node_2,edge
SPARC,fine-grained multimodal representations,pre-trains
image patches,language tokens,grouped for each token
sparse similarity metric,image patches and language tokens,measures similarity between
language-grouped vision embedding,text token,computed as weighted average of patches for
fine-grained sequence-wise loss,token and language-grouped vision embeddings,contrasts
fine-grained sequence-wise loss,individual samples,depends only on
SPARC,contrastive loss,combines fine-grained loss with
contrastive loss,global image and text embeddings,contrasts
SPARC,global and local information,encodes simultaneously
image-level tasks,coarse-grained information,rely on
region-level tasks,fine-grained information,rely on
classification,image-level tasks,is an example of
retrieval,region-level tasks,is an example of
object detection,region-level tasks,is an example of
segmentation,region-level tasks,is an example of
model faithfulness,foundational vision-language models,improves
captioning,foundational vision-language models,improves
contrastive pre-training,"large-scale, noisy image-text datasets",uses
contrastive pre-training,general vision representations,learns
general vision representations,downstream tasks,used for
general vision representations,vision encoders,used for learning
vision encoders,multimodal foundation models,part of
SPARC,language-grouped vision embedding,learns
language-grouped vision embedding,tokens,for every
alignment-weighted sum,patches,computed from
patches,tokens,most similar to
sparse similarity metric,patches and tokens,computed between
alignment weights,sparse similarity metric,computed from
language-grouped vision embeddings,token embeddings,contrasted with
fine-grained contrastive sequence-wise loss,language-grouped vision embeddings,used to contrast
multimodal foundation models,image-level tasks,achieve impressive performance on
multimodal foundation models,fine-grained visual information,discard
multimodal foundation models,localization tasks,work poorly on
multimodal foundation models,counting tasks,work poorly on
multimodal foundation models,spatial relationships between objects,struggle with understanding
multimodal foundation models,object attributes,struggle with understanding
recent line of work,losses between image patch and text token embeddings,explores incorporating
local losses,soft correspondences between image patches and text tokens,learn
local losses,fine-grained tasks,improve performance on
local losses,computational and memory resources,are demanding on
