node_1,node_2,edge
Sequential Disentanglement,Static Information,extracts from a single sequence element
Sequential Disentanglement,Dynamic Factors,decomposes latent codes into
Static Factor,Dynamic Factors,complementary components of latent codes
Existing Methods,Information Leakage,suffer from
Information Leakage,Non-disentangled Representation,leads to
Proposed Method,Information Leakage,mitigates via subtraction inductive bias
Proposed Method,Single Sample,conditions on
Proposed Method,Variational Framework,results in simpler
Proposed Method,State-of-the-Art Results,achieves on generation and prediction tasks
Benchmarks,"Time Series, Video, Audio",includes multiple data modalities
Modern representation learning,unsupervised disentanglement,identifies as a fundamental challenge
unsupervised disentanglement,latent factors of variation,decomposes input data into
disentangled representations,explainability,improves
disentangled representations,generalizability,improves
disentangled representations,controllability,improves
disentangled representations,sample complexity,reduces
disentangled representations,controllable generations,facilitates
disentangled representations,classification,instrumental in
disentangled representations,prediction,instrumental in
disentangled representations,interpretability,instrumental in
sequential case,static factor,inputs split to
sequential case,dynamic factors,inputs split to
static factor,time-invariant features,encodes
input,static factor,split into
input,dynamic components,split into
static factor,time-invariant factor,is also called
dynamic components,time-varying components,is also called
latent representation,static component,disentangled into
latent representation,dynamic component,disentangled into
static component,person’s identity,encodes
dynamic component,smiling motion,encodes
disentangled representations,downstream tasks,hold promise for
downstream tasks,classification,includes
downstream tasks,retrieval,includes
downstream tasks,synthetic video generation with style transfer,includes
sequential disentanglement works,variational autoencoders (VAEs),based on
variational autoencoders (VAEs),dynamic extensions,has
deep encoder modules,information leakage problems,struggle with
information leakage problems,time-varying components,causes to capture static information
information leakage problems,static vector,causes to encode non-meaningful features
Li & Mandt (2018),dynamic dimension,proposes to reduce
Zhu et al. (2020); Bai et al. (2021),mutual information (MI) loss terms,introduce
