node_1,node_2,edge
Differential Privacy (DP),Markov chain Monte Carlo (MCMC) algorithms,provides guarantees for
Markov chain Monte Carlo (MCMC) algorithms,Monte Carlo estimators,associated with
Differential Privacy (DP) guarantees,target distribution,requires that target distribution is differentially private
unadjusted Langevin algorithm,stochastic gradient Langevin dynamics,specialised analysis of
Rényi DP,unadjusted Langevin algorithm,guarantees established for
Girsanov’s theorem,perturbation trick,combined with to obtain bounds
privacy guarantees,state of the chain after n iterations,uniform in n when released
privacy,entire chain trajectory,bounds on
Differential Privacy (DP),statistical and machine learning algorithms,standard approach for designing
differential privacy (DP),statistical and machine learning algorithms,provides quantitative guarantees on information revealed about data
Bayesian statistical methods,differential privacy (DP),DP guarantees of Bayesian methods have been investigated
posterior distribution,Bayesian statistical methods,samples drawn from posterior distribution are analyzed for DP
Markov chain Monte Carlo (MCMC) algorithms,posterior distribution,MCMC produces approximate samples from the posterior
Markov chain Monte Carlo (MCMC) algorithms,differential privacy (DP),DP guarantees of MCMC have been extensively researched
one-step transitions of MCMC,differential privacy (DP),DP obtained by injecting extra noise into one-step transitions
Metropolis-Hastings-type algorithms,one-step transitions of MCMC,extra noise injected in acceptance-rejection step of Metropolis-Hastings
subsampling,MCMC algorithms,additional randomness from subsampling leveraged for DP
MCMC algorithms,differential privacy,studied in the context of
MCMC chain,posterior distribution,approaches
composition bounds,DP guarantees,used to obtain
composition bounds,Markov chains,privacy decays with number of steps
injected noise,number of iterations,must scale with
uniform-in-time privacy bounds,final draw,proven for
gradient descent-type algorithms,Rényi DP,uniform-in-time bounds obtained under strong convexity
subsampling strategies,additional randomness,leverages
gradient clipping,MCMC moves,optionally used to drive
