node_1,node_2,edge
Windows Agent Arena,Large language models (LLMs),evaluates
Windows Agent Arena,Windows operating system (OS),focuses on
Windows Agent Arena,multi-modal tasks,evaluates agents in
Windows Agent Arena,benchmark,is a
Windows Agent Arena,150+ diverse tasks,contains
Windows Agent Arena,20 minutes,can be evaluated in
Large language models (LLMs),computer agents,show potential as
computer agents,multi-modal tasks,enhance productivity in
benchmark evaluations,multi-step sequential nature,are slow due to
Windows Agent Arena,planning,requires agentic abilities in
Windows Agent Arena,screen understanding,requires agentic abilities in
Windows Agent Arena,tool usage,requires agentic abilities in
multi-modal agents,development and evaluation cycle,part of
multi-modal LLMs,multi-modal agents,used as backbone of
multi-modal LLMs,Windows computing environment,evaluated in
human,multi-modal LLMs,compared to in success rate
agent,artificial intelligence,concept within
agent,sensors,perceives through
agent,actuators,acts through
computer agents,virtual environments,operate in
computer agents,human productivity,enhances
computer agents,software accessibility,enhances
Large multi-modal models,GPT-4V,includes
Large multi-modal models,GPT-4o,includes
Large multi-modal models,Gemini,includes
benchmarks,web navigation,focus on
benchmarks,mobile screens,focus on
benchmarks,software development,focus on
OSWorld,real computing OS,embodies and envelops into testing domain
AndroidWorld,real computing OS,embodies and envelops into testing domain
OSWorld,Linux OS,focuses on
Windows,closed-source proprietary nature,has
Windows,researchers,limits access for
WINDOWS AGENT ARENA,OSWorld framework,builds upon
WINDOWS AGENT ARENA,benchmark suite,is a
benchmarks,task complexity,evolve to capture
task complexity,time and computing resources,requires increasing
efficiency and accessibility,progress in research,limits
