node_1,node_2,edge
Fitted Q-iteration (FQI),log-loss,uses
FQI-LOG,batch reinforcement learning,applied to
FQI-LOG,near-optimal policy,learns
sample complexity,accumulated cost of optimal policy,scales with
batch reinforcement learning,offline RL,also known as
FQI,value functions,iteratively obtains
FQI-LOG,FQI trained with squared loss,uses fewer samples than
FQI-LOG,batch RL algorithm,is a type of
FQI-LOG,small-cost bound,achieves
small-cost bound,small-loss bound,is analogous to
small-cost bound,sample efficiency,predicts improved
returns along trajectories,bounded interval,lie in
new method,near-optimal policy,learns
number of samples,cost of the optimal policy,scales with
goal oriented RL tasks,small-cost bound,benefits from
regression oracle,FQI-LOG,is required by
logit models,FQI-LOG,can be used in
Wang et al. (2023),small-cost bounds,obtained
Wang et al. (2023),finite-horizon batch RL,worked on
Wang et al. (2023),small-cost bounds,obtains for finite-horizon batch RL problems
Wang et al. (2023),distributional RL approach,uses
distributional RL approach,regression problems,solves
regression problems,distribution of a policy’s accumulated cost,estimates
Abeille et al. (2021),log-loss,showed sufficient for small-cost bounds in bandit problems
Foster & Krishnamurthy (2021),log-loss,showed sufficient for small-cost bounds in bandit problems
log-loss,small-cost advantage,gives
unrestricted model class,tabular learning,example of
unrestricted model class,log-loss,achieves small cost bounds with
unrestricted model class,squared loss,achieves small cost bounds with
log-loss,squared loss,share same minimizers in unrestricted model class
restricted model class,log-loss,trades off errors differently than squared loss
restricted model class,squared loss,trades off errors differently than log-loss
log-loss,penalty for predicting far from observed mean,increases rapidly near boundary of range
squared loss,penalty for predicting far from observed mean,lacks boundary effect
log-loss,predictors fitting well to boundary values,favors
log-loss,stabilizing learning,causes by disregarding large variance observed values
