node_1,node_2,edge
Online conformal prediction,decaying step sizes,uses
Online conformal prediction,retrospective guarantee of coverage,possesses
Online conformal prediction,population quantile estimation,enables simultaneous
decaying step sizes,improved practical properties,leads to
improved practical properties,stable distribution,observed when
stable distribution,coverage close to desired level,results in
coverage close to desired level,every time point,applies to
online uncertainty quantification,time-series forecasting,applied in
prediction set,true label,contains
prediction set,specified coverage probability,achieves
data points,sequence,form a sequence over time
Xt,Yt,paired as observed data at each time t
prediction set Ct,Xt,depends on Xt
prediction set Ct,Yt,covers Yt
base model,past data,trained on past data
prediction set Ct,base model,depends on base model
method,prediction sets Ct,constructs prediction sets
method,best-case guarantees,has best-case guarantees
method,worst-case guarantees,has worst-case guarantees
method,adversarial sequences,handles adversarial sequences
method,I.I.D. sequences,handles I.I.D. sequences
arbitrary adversarial sequences,data points,type of
independent and identically distributed (I.I.D.) sequences,data points,type of
method,arbitrary adversarial sequences,remains robust for
method,independent and identically distributed (I.I.D.) sequences,converges for
historical fraction of miscovered labels,desired error rate α,converges to
method,optimal prediction sets,produces
worst-case guarantee,Theorem 1,stated in
worst-case guarantee,long-run coverage guarantee,also called
best-case guarantee,Theorem 3,stated in
best-case guarantee,convergence guarantee,also called
algorithm,worst-case guarantee,satisfies
algorithm,best-case guarantee,satisfies
decaying step size,stable behavior,yields
method,Gibbs & Candes (2021),related to
method,Angelopoulos et al. (2023),related to
method,Xu & Xie (2021),related to
prediction set construction,conformal prediction,borrows from
conformal score function,prediction set construction,used in
conformal score function,bounded,is
