node_1,node_2,edge
Schedule-free SGD,nonconvex optimization,is effective for
Schedule-free SGD,optimal iteration complexity,achieves
Schedule-free SGD,nonsmooth nonconvex optimization problems,achieves optimal iteration complexity for
general framework for online-to-nonconvex conversion,online learning algorithm,converts
general framework for online-to-nonconvex conversion,nonconvex optimization algorithm,converts online learning algorithm into
general framework for online-to-nonconvex conversion,existing conversions,recovers
general framework for online-to-nonconvex conversion,two novel conversion schemes,leads to
one of these new conversions,schedule-free SGD,corresponds directly to
schedule-free SGD,optimality,allows establishing
analysis,parameter choice for schedule-free SGD,provides insights into
convex theory,parameter choice for schedule-free SGD,cannot explain
Adam optimizer,learning rate scheduling,requires meticulously tuned
schedule-free method,learning rate scheduling,achieves training performance without
schedule-free method,base optimizer,can be applied to any chosen
schedule-free method,schedule-free variant,converts base optimizer into
schedule-free method,convex setting,theoretical analysis limited to
schedule-free SGD,schedule-free method,is a version where base optimizer is SGD
schedule-free SGD,nonconvex optimization,extends theoretical understanding to
schedule-free SGD,learning rate γ,uses given
schedule-free SGD,"interpolation weights ct, κt",maintains updates with
schedule-free SGD,"xt, yt",maintains variables
schedule-free SGD,learning rate γ,uses
schedule-free SGD,"interpolation weights ct, κt",uses
schedule-free SGD,xt,maintains
schedule-free SGD,yt,maintains
schedule-free SGD,zt,maintains
zt,base SGD trajectory,corresponds to
xt,weighted average of zt,is
yt,interpolation between xt and zt,is
stochastic gradient,yt,computed at
schedule-free SGD,nonsmooth and nonconvex optimization,analyzed in
schedule-free SGD,"(λ, ϵ)-stationarity criterion",analyzed using
schedule-free SGD,convex optimization,optimal for
schedule-free SGD,nonsmooth and nonconvex optimization,optimal for
