node_1,node_2,edge
MPNNs,Weisfeiler–Leman (WL) isomorphism test,equal in distinguishing power
MPNNs,ReLU activation function,uses
MPNNs,O(n)-dimensional feature vectors,requires for equivalence to WL test
Morris et al. (AAAI’19),MPNNs,proved result for
Aamand et al. (NeurIPS’22),MPNNs,improved bound for
Aamand et al. (NeurIPS’22),O(log n)-dimensional feature vectors,achieved with randomness
feature vectors,graph size,dimension increases with
architectures used in practice,feature vectors of constant dimension,have
non-polynomial analytic activation function,MPNNs,enables equivalence to WL test with
sigmoid activation function,non-polynomial analytic activation function,is an example of
feature vectors of dimension d = 1,MPNNs,sufficient for equivalence to WL test
graph neural network (GNN),message-passing graph neural networks (MPNN),is a type of
message-passing graph neural networks (MPNN),simple undirected graphs with node labels,takes as input
message-passing graph neural networks (MPNN),layers,works in
node,feature vector,has
feature vector,layer,updated at each
initial feature vector,encoding of the label,is
encoding of the label,one-hot encoding,typically is
feature vector of a node v,sum of feature vectors of the neighbors of v,updated by taking
sum of feature vectors of the neighbors of v,matrix with learnable entries,multiplied by
feature vector of v itself,other matrix with learnable entries,multiplied by
update process,non-linear activation function,followed by
MPNN,feature vector,computes new feature vector via multiplication with learnable matrix and non-linear activation
MPNN,invariant functions,computes functions that are invariant under graph isomorphisms
MPNN,expressive power,expressive power refers to ability to accurately represent data
MPNN,distinguishing non-isomorphic graphs,ability to distinguish non-isomorphic graphs relates to expressive power
MPNN architecture,complete for a class of graphs,complete if it can distinguish all non-isomorphic graphs in the class
MPNN architecture,universal,universal if and only if it is complete for that class
universal MPNN,invariant function approximation,can approximate any invariant function arbitrarily well within a graph class
