node_1,node_2,edge
Personalized Subgraph Federated Learning,Subgraph Federated Learning,is a specialized variant of
Subgraph Federated Learning,Graph Neural Networks,trains
Subgraph Federated Learning,missing links,deals with
Personalized Subgraph Federated Learning,local GNN models,focuses on joint improvement of
FED-PUB,Personalized Subgraph Federated Learning,is a framework for
FED-PUB,functional embeddings,utilizes
functional embeddings,local GNNs,are derived from
functional embeddings,random graphs,uses as inputs
FED-PUB,similarities,computes between local GNNs
similarities,weighted averaging,used for
weighted averaging,server-side aggregation,performs
FED-PUB,personalized sparse mask,learns at each client
personalized sparse mask,aggregated parameters,selects and updates subset of
subgraph FL,heterogeneity,overlooks
heterogeneity,subgraphs,exists between
FED-PUB,subgraph FL,validated for
FED-PUB,aggregated parameters,updates subset of
subgraph FL,non-overlapping subgraphs,considers
subgraph FL,overlapping subgraphs,considers
Graph Neural Networks (GNNs),single graph,focus on
single graph,central server,stored in
social network platform,giant network,creates
each user/institution,private graph,collects
private graph,locally accessible,is
hospital,patient interaction network,has
patient interaction network,physical contacts,tracks
patient interaction network,co-diagnosis of disease,tracks
subgraphs,multiple participants,distributed across
Federated Learning (FL),Graph Neural Networks (GNNs),used together to collaboratively train without sharing actual data
local GNN,local data,trained on
central server,local GNN weights,aggregates
subgraph FL methods,missing edges between subgraphs,tackle the problem of
subgraph FL methods,expanding the local subgraph,use approach of
expanding the local subgraph,augmenting relevant nodes from other subgraphs,can be done by exactly
expanding the local subgraph,estimating nodes using node information,can be done by
sharing node information,data privacy,may compromise
sharing node information,communication costs,can incur high
existing subgraph FL methods,performance degeneration,suffer from
performance degeneration,heterogeneity among subgraphs,due to
