node_1,node_2,edge
Nonlinear Representation Learning,Robustness,studies robustness of
Unsupervised Representation Learning,Nonlinear Representation Learning,is a type of
Mixing,Local Isometry,is close to
Mixing,Linear Transformations,can be identified up to
Independent Component Analysis (ICA),Observations,generates
Observations,Mixing Matrix A,generated by
Mixing Matrix A,Perturbation h(s),is perturbed by
Independent Component Analysis (ICA),Mixing Matrix A,approximately recovers
Independent Component Analysis (ICA),Independent Components,approximately recovers
Nonlinear ICA,Almost Isometric Mixing Functions,is approximately identifiable with
Identifiability,Unsupervised Representation Learning,is a goal for
training distribution,underlying causal structure,desirable to identify beyond matching
underlying causal structure,downstream performance,improves
underlying causal structure,explainability,improves
underlying causal structure,robustness,improves
ground truth model,identifiable settings,can only be learned in
identifiable settings,unique model,implies
linear ICA,identifiability,shown under mild assumptions
nonlinear functions,ICA,not identifiable for
identifiability results,additional assumptions,proved under
additional assumptions,restrictions of the function class,include
Causal Representation Learning (CRL),identifiability results,depends on
identifiability results,strong assumptions,require
strong assumptions,real data,hold approximately for
identifiability results,robustness properties,need understanding of
robustness properties,misspecification,investigated in settings with
misspecification,model assumptions,involves mild violation of
latent variables,misspecified settings,approximately identified in
theoretical questions,identifiability,focus on
identifiability,empirical side,has implications for
empirical side,learning signals,clarifies what assumptions generate
learning signals,suitable algorithms,exploited by
suitable algorithms,true latent structure,uncover
true latent structure,complex data,beyond toy
