node_1,node_2,edge
Self-attention mechanism,attention localization,modulates degree of
attention localization,model performance,connected to
rank collapse,self-attention block,occurs in
rank collapse,less expressive network,leads to
entropy collapse,attention probability,approaches non-uniform
entropy collapse,low entropy,entails
entropy collapse,learning dynamics,makes trapped in plateaus
rank collapse,uniform attention,relevant to
entropy collapse,non-uniform attention,relevant to
attention localization,eigenspectrum of query-key parameter matrices,characterized by
small eigenspectrum variance,attention localization,leads to
small eigenspectrum variance,rank collapse,prevents
small eigenspectrum variance,entropy collapse,prevents
small eigenspectrum variance,model expressivity,leads to better
small eigenspectrum variance,trainability,leads to better
rank collapse,model expressivity,prevents
entropy collapse,model expressivity,prevents
rank collapse,trainability,prevents
entropy collapse,trainability,prevents
Transformers,language modeling,widely adopted in
Transformers,vision tasks,widely adopted in
Transformers,speech recognition,widely adopted in
attention mechanism,transformers,crucial building block in
attention mechanism,long-range signals,designed to capture
attention mechanism,general structures of input data,leveraged to capture
transformers,hierarchical interpretations of input sequences,implicitly prefer
transformers,relational knowledge,store in MLP layers
MLP layers,associative memory,act as
transformers,tree-structured computational graphs,tend to have
transformers,tree structures of inputs,suddenly capture after long training epochs
training dynamics analysis,learning spatially correlated inputs,explains how to
self-attention,localized attention,is a type of
self-attention,uniform attention,is a type of
self-attention,token mixer,is regarded as
self-attention,token selection,plays a role in
self-attention,model expressivity,affects
self-attention,training stability,affects
self-attention layers without skip connections,rank of hidden layers,exponentially loses
training dynamics analysis,spatially correlated patches,explains how to learn
training dynamics analysis,dominant tokens,explains how to select
training dynamics analysis,associative memory,explains how to store information as
training dynamics analysis,max-margin tokens,explains how to select
in-context learning,concept learning,is explained as a process of
concept learning,Bayesian inference,occurs in
vision transformers (ViT),spatially correlated patches,learns
localization,query token,for a
localized attention,few relevant tokens,selects
uniform attention,many tokens uniformly,selects
