node_1,node_2,edge
LLMs,memorized training textual sequences,memorize and regurgitate
memorized training textual sequences,privacy problems,cause
memorized training textual sequences,copyright problems,cause
Unlearning in LLMs,memorized data,deals with side-effects of
Unlearning in LLMs,model utility,should not hurt
textual sequence to be forgotten,degree of memorization,treated differently based on
new metric,unlearning quality,measures
adversarial attack,SOTA algorithms,shows failure for privacy
new unlearning methods,Gradient Ascent,based on
new unlearning methods,Task Arithmetic,based on
comprehensive performance evaluation,solution space,maps
comprehensive performance evaluation,best solutions,identifies
best solutions,different scales in model capacities,identified under
best solutions,forget set sizes,identified under
LLMs,vast corpus of data,trained on
LLMs,factual associations,establish
LLMs,language semantics and grammar,memorize
LLMs,training examples,memorize
LLMs,information verbatim,emit
information verbatim,privacy,violates
privacy,laws and regulations,protected by
laws and regulations,right to be forgotten (RTBF),include
right to be forgotten (RTBF),information removed from LLM,requires
retrain LLM from scratch,LLMs,infeasible for
tendency to regurgitate training data,number of parameters,increases proportionally with
LLMs,training data,memorize and emit
number of model parameters,tendency to regurgitate training data,increases proportionally with
memorized training data,privacy and copyright problems,causes
GPT-3,PII information,generates verbatim
memorized training data points,quality of the model,decreases
memorization,root cause,is
memorization,sufficient overlap between training data point and generated text response,defined as
this research,LLMs,aims to enrich with ability to unlearn memorized textual sequences
unlearn memorized textual sequences,three constraints,must satisfy
