node_1,node_2,edge
Memory layers,trainable key-value lookup mechanism,use
Memory layers,sparsely activated memory layers,are a type of
Memory layers,dense feed-forward layers,complement
Memory layers,language models,augment
Memory layers,dense models,outperform
Memory layers,mixture-of-expert models,outperform when matched for compute and parameters
Memory layers,factual tasks,show pronounced gains for
Memory layers,scaling laws,demonstrate
Memory layers,128B memory parameters,scaled up to
Memory layers,1 trillion tokens,pretrained to
Dense deep neural networks,weights of linear matrix transforms,encode information as
Parameter size,computational and energy requirements,directly coupled to increase in
matrix transforms,scaling of parameter size,coupled to
scaling of parameter size,computational and energy requirements,increases
language models,information storage needs,have
language models,simple associations,need to learn
simple associations,birthdays of celebrities,example of
simple associations,capital cities of countries,example of
simple associations,how one concept might relate to another,example of
feed-forward networks,any function,can learn in principle
feed-forward networks,lookup tables of associations,can learn
associative memory,lookup tables of associations,more efficient for
memory layers,key-value lookup mechanism,implemented with
memory layers,associative memory,related to
memory layers,end-to-end trainable memory layers,introduced by earlier works
memory layers,neural computational systems,incorporated as part of
memory layers,dense layers,contrasted with
memory layers,mixture-of-experts,alternative to
dense layers,FLOP-bound,predominantly
memory layers,memory bandwidth bound,almost entirely
memory layers,hardware accelerators,not optimised for
mixture-of-experts,dense networks,resembles
