node_1,node_2,edge
deep networks,linearizing feature channels,subject to linearization through sparsity prior
sparsity prior,nonlinear units,reduces number of
network function,linearity,simplified towards
performance,reducing nonlinearity early in training,shows significant gap when
reducing nonlinearity early in training,reducing nonlinearity late in training,contrasted with
time-evolution of data-dependent NTK,reducing nonlinearity early vs late,in-line with observations on
trained networks,linearizing nonlinear units,able to maintain high performance after
network expressivity,gradient descent in early training,remains unused but helps
partially linearized network,average path length,characterized by
average path length,active nonlinearities along a path,represents average number of
remaining nonlinear units,core-networks,organize into
core-networks,effective depth and width,have near constant
core-networks,task difficulty,depend on
effective depth,task difficulty,depends on
effective width,task difficulty,depends on
deep learning,concatenations of nonlinear functions,based on
concatenations of nonlinear functions,expressivity,increase
AlexNet,moderate depth,used
batch normalization,training of deep networks,enabled
residual connections,training of deep networks,enabled
network depth,function complexity upper bound,determines
network width,function complexity upper bound,determines
deeper networks,performance,enhance
performance gains,increasing depth,saturate with
very deep networks,analysis difficulty,increase
very deep networks,computational expense,suffer from
networks,analysis difficulty,are known to be more difficult to analyze
networks,computational expense,are more computationally expensive to train or infer
networks,stability issues,suffer from
stability issues,vanishing gradients,include
stability issues,exploding gradients,include
stability issues,shattering gradients,include
layer width,network memorization,sufficiently large network can memorize any function
infinite width networks,Gaussian processes,degrade to
prescribed depth,successful recipes,there are many successful recipes for creating networks of
nonlinear layers,problem solving,difficult to understand how many are needed
features per layer,problem solving,difficult to understand how many are needed
chosen architecture,expressive potential,effectiveness in exploiting
nonlinear unit,cost,associated with
PReLU activations,ReLU function,can interpolate between ReLU and linear function
PReLU activations,linear function,can interpolate between ReLU and linear function
ReLU layer,channel-wise PReLU activations,replaced with
