node_1,node_2,edge
Object-Centric Representations,Machine Learning Models,improves generalization abilities of
Unsupervised Object-Centric Representation Learning,Theoretical Account,lacks
Generative Process,Scenes,comprises
Compositionality,Generative Process,assumption for
Irreducibility,Generative Process,assumption for
Ground-Truth Object Representations,Invertible and Compositional Inference Model,can be identified by
Invertible and Compositional Inference Model,Dependencies Between Objects,works even in presence of
Theory,Existing Object-Centric Models,holds predictive power for
Compositionality,Invertibility,correspondence between
object-centric models,compositionality,has property
object-centric models,invertibility,has property
compositionality,empirical identifiability,correlated with
invertibility,empirical identifiability,correlated with
human intelligence,generalization,exhibits
abstract representations,generalization,enables
object-centric representations,compositional generalization,facilitates
visual scenes,individual objects,represented in terms of
core cognitive abilities,compositional generalization,facilitates
core cognitive abilities,causal reasoning over discrete concepts,facilitates
machine learning models,object-centric representations,endowed with capacity to learn
object-centric representations,raw visual input,learned from
initial approaches,supervised learning,were mostly
recent wave of new methods,unsupervised learning,explore
unsupervised object-centric representation learning,theoretical understanding,lacks
unsupervised object-centric representation learning,empirical progress,despite
