node_1,node_2,edge
Hyperbolic Optimizer,Dynamical System,is defined as
Hyperbolic Optimizer,non-linear differential equation,linked to as continuous limit
Hyperbolic Optimizer,Lyapunov stability,analyzed using
Gradient Descent,Dynamical System,connected to
weight updates,evolution of system state,viewed as
θ (parameters),L(θ) (loss function),minimized by
optimization process,minima in loss landscape,aims to locate
equilibrium points,energy landscape of dynamical system,analogous to
hyperbolic spaces,constant curvature equal to -1,have
θ∗,optimal parameters,signifies
hyperbolic spaces,homogeneous spaces,are
hyperbolic spaces,constant curvature equal to -1,have
hyperbolic spaces,spaces of negative curvature,are a type of
hyperbolic spaces,trees,can embed with arbitrarily low distortion
δ-hyperbolic spaces,hyperbolic spaces,are a larger class of spaces introduced by Gromov
δ-hyperbolic spaces,trees,are almost isometric to
Gromov,δ-hyperbolic spaces,introduced
euclidean spaces,trees,do not allow embedding with bounded distortion
positively curved spaces,trees,do not allow embedding with bounded distortion
hyperbolic embeddings,routing,have shown promise for
Hyperbolic embeddings,routing,used for
Hyperbolic embeddings,clustering,used for
Hyperbolic embeddings,biological networks,used for
Hyperbolic embeddings,phylogenetic trees,used for
Hyperbolic embeddings,neuroscience,used for
Hyperbolic embeddings,text embedding,used for
Hyperbolic embeddings,knowledge graphs,used for
Hyperbolic Neural Networks (HNN),hyperbolic geometry,leverages
Hyperbolic Neural Networks (HNN),hierarchical relationships,captures
hyperbolic spaces,classical optimizers,poses challenges for
Riemannian gradient,hyperbolic space curvature,accounts for
Riemannian optimization methods,hyperbolic geometry,tailored for
Riemannian optimization methods,stable convergence,ensures
optimization,hyperbolic neural networks,allows to exploit geometry
optimizer,ADMM,based on
