node_1,node_2,edge
Source-free domain adaptation (SFDA),unlabelled data,uses
Source-free domain adaptation (SFDA),off-the-shelf model,adapts
SFDA techniques,naturally-occurring distribution shifts in bioacoustics,applied to
existing SFDA methods,vision benchmarks,perform differently relative to each other than observed in
existing SFDA methods,no adaptation,sometimes perform worse than
proposed new simple method,existing methods,outperforms
proposed new simple method,vision datasets,exhibits strong performance on
existing SFDA methods,generalizable,are not as ... as previously thought
considering diverse modalities,designing more robust models,can be a useful avenue for
training models,expensive,has become increasingly
expensive training,environmental waste,is wasteful from
expensive training,inaccessible to practitioners,makes
prohibitive resources,training models,required for
data access difficulties,training models,can hinder
reusing pre-trained models,performance degradation,can lead to
distribution shifts,performance degradation,cause
adaptation methods,pre-trained models,designed for
adaptation methods,new target domain,succeed on
source-free domain adaptation (SFDA),adaptation without source data,is
source-free domain adaptation (SFDA),unsupervised adaptation,preferably performed
evaluation,SFDA methods,is a significant challenge for
SFDA methods,general applicability,desired to have
SFDA methods,different applications,can be used for
pre-trained model,wide range of distribution shifts,adapted to cope with
SFDA methods,distribution shifts,are evaluated on
standard SFDA evaluation protocols,narrow set of shifts in vision tasks,focus on
this work,limitation,addresses
this work,new set of distribution shifts,studies
new set of distribution shifts,audio domain,proposed in
pre-trained model,bird species classifier,is a
pre-trained model,large dataset of bird song recordings,trained on
large dataset of bird song recordings,focalized recordings,consists of
goal,adapt this model,is to
adapt this model,passive recordings (soundscapes),to
shift from focalized to soundscape recordings,substantial,is
soundscape recordings,lower signal-to-noise ratio,feature
soundscape recordings,several birds vocalizing at once,feature
soundscape recordings,significant distractors and environmental noise,feature
