node_1,node_2,edge
Muse,text-to-image Transformer model,is a
Muse,masked modeling task,trained on
Muse,discrete token space,operates in
Muse,text embedding,uses as input
text embedding,pre-trained large language model (LLM),extracted from
Muse,randomly masked image tokens,predicts
Muse,diffusion models,more efficient than
Muse,autoregressive models,more efficient than
Muse,parallel decoding,uses
pre-trained large language model (LLM),fine-grained language understanding,enables
fine-grained language understanding,high-fidelity image generation,contributes to
fine-grained language understanding,understanding of visual concepts,contributes to
Muse 900M parameter model,CC3M,achieves state-of-the-art on
Muse 3B parameter model,zero-shot COCO evaluation,achieves FID of 7.88 on
Muse,image editing applications,enables
COCO evaluation,CLIP score,measured alongside
Muse,image editing applications,enables
Muse,inpainting,enables
Muse,outpainting,enables
Muse,mask-free editing,enables
generative image models,text prompts,conditioned on
deep learning architecture innovations,generative image models,enabled
masked modeling,language tasks,used for
masked modeling,vision tasks,used for
diffusion models,generative image models,family of
masking-based generation,generative image models,family of
large scale image-text paired datasets,generative image models,enabled
text-to-image synthesis,masked image modeling approach,uses
image decoder architecture,T5-XXL large language model (LLM) encoder,conditioned on embeddings from
pre-trained LLM,photorealistic high quality image generation,is crucial for
Muse models,Transformer architecture,built on
Muse models,VQGAN tokenizer models,consists of
VQGAN tokenizer models,input image,encodes to discrete tokens
VQGAN tokenizer models,token sequence,decodes to image
base masked image model,partially masked low-res tokens,takes as input
base masked image model,marginal distribution for each masked token,predicts
base masked image model,T5-XXL text embedding,conditioned on
