node_1,node_2,edge
Adversarial Training (AT),vision models,impacts robustness and generalization
Adversarial Training (AT),encoder-based models,results in limited robustness improvements with minimal generalization loss
latent-space adversarial training (LAT),decoder-based models,improves robustness by applying AT across multiple layers
manifold conjecture,off-manifold adversarial examples (AEs),enhances robustness
manifold conjecture,on-manifold adversarial examples (AEs),improves generalization
vision models,low intrinsic dimensionality,exhibit in earlier layers
decoder-based models,low intrinsic dimensionality,exhibit in earlier layers
encoder-based models,low intrinsic dimensionality,exhibit in later layers
low intrinsic dimensionality in earlier layers,off-manifold AEs,favors
low intrinsic dimensionality in later layers,on-manifold AEs,favors
SMAAT,encoder-based models,improves scalability of AT by perturbing the layer with lowest intrinsic dimensionality
SMAAT,projected gradient descent (PGD) chain length,reduces
SMAAT,GPU time,cuts by 25-33%
SMAAT,robustness,significantly boosts
Adversarial Training (AT),robustness,improves
Adversarial Training (AT),deep neural networks,applied to
LAT,LLaMA-2 model,applied at different layers of
Intrinsic Dimensionality,off-manifold ratio,inversely related to
Intrinsic Dimensionality,deeper layers,increases in
off-manifold ratio,deeper layers,decreases in
off-manifold ratio,generalization,inversely related to
manifold conjecture,generalization,predicts increase in
manifold conjecture,on-manifold samples,relates to
text generation,multiple tasks,part of
sentiment classification,multiple tasks,part of
safety filtering,multiple tasks,part of
retrieval augmented generation,multiple tasks,part of
standard training,superior robustness,compared to
standard training,comparable generalization,compared to
off-manifold ratio,generalization,decrease in off-manifold ratio leads to increase in generalization
off-manifold ratio,robustness,decrease in off-manifold ratio leads to decrease in robustness
manifold conjecture,generalization,manifold conjecture predicts increase in generalization
manifold conjecture,robustness,manifold conjecture predicts decrease in robustness
adversarial training (AT),min-max optimization,formulated as
min-max optimization,model parameters,outer minimization optimizes
min-max optimization,input perturbations,inner maximization seeks worst-case
inner maximization,projected gradient descent (PGD),solved approximately using
adversarial training (AT),generalization,reduces generalization in vision models
adversarial training (AT),CIFAR-10,leads to 8% drop on
adversarial training (AT),encoder-based language models,retains or improves generalization in
adversarial training (AT),AGNEWS,achieves 1% gain on
robustness gains,vision models,"significantly higher in (e.g., 40% on CIFAR-10)"
robustness gains,encoder-based models,"lower in (e.g., 10% on AGNEWS)"
Latent Adversarial Training (LAT),adversarial training (AT),suggests applying across multiple layers yields better robustness and generalization
Latent Adversarial Training (LAT),single layer AT,outperforms focusing on
