node_1,node_2,edge
Gaussian Processes,Cellular Complexes,proposed on
Cellular Complexes,Graphs,generalisation of
Graphs,Vertices,models relations between
Cellular Complexes,Higher-order cells,captures interactions between
Graph Matérn kernel,Gaussian Processes,generalised by novel kernel for
Novel kernels,Cellular Complexes,derived for
Machine learning models,Graphs,developed on
Graph neural networks,Predictive uncertainty,do not provide
Gaussian Processes,Uncertainty,accounts for
Graph Neural Networks (GNNs),predictive uncertainty,do not provide
predictive uncertainty,decision-making applications,is an essential feature in
Gaussian processes (GPs) on graphs,uncertainty quantification,naturally accounts for
Gaussian processes (GPs) on graphs,Graph Neural Networks (GNNs),may lack the expressibility of
graphs,dyadic interactions,limited to representing
simplicial complex,arbitrary polygons,cannot represent
cellular complex,polyhedral complex,specifically refers to
group interactions,social networks,have important applications in
neuronal dynamics,cortexes,occur in
cellular complexes,graphs,generalisation of
cellular complexes,polyadic interactions,models
cellular complexes,machine learning (ML),used in
cellular complexes,signal processing,used in
cellular complexes,Gaussian Processes (GPs),enables predictions on
cellular Matérn kernel,graph Matérn kernel,generalisation of
cellular Matérn kernel,signals on arbitrary cell types,enables modelling of
cellular complexes,uncertainty quantification,lacks
Gaussian Processes (GPs),cellular complexes,defined on
group interactions,social networks,application in
neuronal dynamics,cortexes,application in
trigenic interactions,gene networks,application in
