node_1,node_2,edge
Large language models (LLMs),external environments,integrated with
LLM inference systems,standalone LLMs,designed for
external interaction,LLM generation,treated as end of
recomputation,already computed contexts,causes
INFERCEPT,LLM inference framework,is a
INFERCEPT,augmented LLMs,targets
INFERCEPT,efficient interception,supports
INFERCEPT,GPU resource waste,minimizes
INFERCEPT,serving throughput,improves
INFERCEPT,state-of-the-art LLM inference systems,outperforms
LLMs,external tools,augmented with
LLMs,arithmetic calculation,augmented with
LLMs,ChatGPT plugins,augmented with
LLMs,non-LLM models,augmented with
LLMs,image generation,augmented with
LLMs,interaction with humans,augmented with
LLMs,interaction with environments,augmented with
LLMs,virtual environments,interacts with
LLMs,external entities,augmented and intercepted by
augmentations,LLM inference systems,bring new problems to
augmentations,regular LLM decoding,intercept
external tool call,normal decoding phase,pauses
human/environment responses,normal decoding phase,pauses
interception,time,varies drastically across augmentation types and requests
interception,request scheduling,complicates
interception time,augmentation types,varies across
interception time,requests,varies across
context (KV caches),paused request,cannot be used for during interception
context (KV caches),end of interception,needed upon
existing LLM inference systems,augmented LLMs with interceptions,fall short in serving
interception,termination signal,interpreted as by existing systems
existing LLM inference systems,ongoing request,conclude when interception happens
existing LLM inference systems,context,discard upon interception
existing LLM inference systems,augmenting entity,relegate task to
existing LLM inference systems,new request,re-initiate upon receiving response
frequent interceptions,recomputation of keys and values (KV cache),causes substantial
initial prompt and all tokens generated before interception,new request,formed as
