node_1,node_2,edge
Graph Out-of-Distribution Detection,Neighborhood Shaping,methodology
TopoOOD,graph topology,accommodates
TopoOOD,neighborhood context,accommodates
TopoOOD,OOD node instances,detects
in-distribution (ID) data,OOD data,split based on topological distributions
graph-based OOD detection,distribution shifts,evaluated under
OOD detection,images,contrasted with graphs
OOD detection,graphs,limited literature
AUROC,TopoOOD,increased by up to 15%
FPR,TopoOOD,decreased by up to 50%
OOD samples,reliable AI systems,are a concern for
large language models,confusing synonyms,are vulnerable to
large language models,typographical errors,are vulnerable to
large language models,adversarial contents,are vulnerable to
large language models,noisy inputs,are vulnerable to
Graph Neural Networks (GNNs),training and testing datasets,assume same distribution for
distribution shifts,real-world scenarios,widely exist in
over-confidence predictions,OOD samples,caused by assumption for
OOD samples,GNN models,hampers reliability of
over-confidence predictions,OOD samples,causes
over-confidence predictions,GNN models,hampers reliability of
OOD detection for graphs,interdependence within the neighborhood,exacerbated by
current methods for node-level OOD detection,predicted categorical distribution,model uncertainty on
current methods for node-level OOD detection,node feature embeddings,sideline
current methods for node-level OOD detection,features of individual nodes,over-rely on
connected nodes,similar distributions,assumed to be sampled from
GNNSafe,discriminative energy score,fails to provide
node OOD detection,neighborhood information,requires assessment of
TopoOOD,neighborhood topology,starts from
TopoOOD,interdependent node features,combines with
TopoOOD,graph structural data,developed for
generalized node-wise Dirichlet energy,confidence score,introduced as
Dirichlet energy,generalized node-wise Dirichlet energy,inspires
