node_1,node_2,edge
Representation learning,Reinforcement learning,plays a crucial role in
Eigenvectors of the Laplacian matrix,Laplacian-based framework,are leveraged by
Transition graph,Laplacian matrix,underlies
Laplacian-based representations,Online learning,can be learned via
Asymmetric Graph Drawing Objective (AGDO),Online optimization approach,is formulated as
Online projected gradient descent,Asymmetric Graph Drawing Objective (AGDO),analyzes convergence of
Convergence guarantees,True Laplacian representation,validated to
Reinforcement learning algorithms,Online representation learning,compatibility with
Representation learning,machine learning,is a part of
Representation learning,reinforcement learning,is important for
Representation learning,data representations,learns compact and useful
Reinforcement learning,complex environments,deals with
Reinforcement learning,optimal strategy,aims to learn
Optimal strategy,policy,is also called
Policy,state,maps to action
Representation learning,sample efficiency,improves
Representation learning,value-function approximation algorithms,improves sample efficiency of
Representation learning,generalization,enhances
Representation learning,reward shaping,has applications in
Representation learning,learning options,has applications in
reward shaping,"Wu et al., 2018",application of
learning options,larger coverage,associated with
learning options,"Machado et al., 2017a",cited in
learning options,"Jinnai et al., 2019",cited in
learning options,"Chen et al., 2024",cited in
zero-shot learning,"Touati et al., 2022",application of
transfer learning,"Gimelfarb et al., 2021",application of
transfer learning,"Barreto et al., 2017",application of
graph representation,low-dimensional embedding,used to learn
graph representation,states,represents
states,nodes of a graph,viewed as
transition probability,weighted edges,viewed as
transition probability,states,between
states,similar representations,expected to have
graph Laplacian,eigenvectors,has
d-smallest eigenvectors,embedding function,used to construct
embedding function,state,maps to vector
graph drawing objective,"Koren, 2005",proposed by
"Wu et al., 2018",scalable method,proposed
scalable method,smallest eigenvectors,computes
scalable method,graph drawing objective,solves unconstrained version of
