node_1,node_2,edge
DART,discrete abstract representations,introduces
DART,transformer-decoder,incorporates for auto-regressive world modeling
DART,transformer-encoder,incorporates for learning behavior
transformer-decoder,world modeling,used for
transformer-encoder,learning behavior,used for
DART,memory tokens,aggregates information from past time steps as
DART,Atari 100k benchmark,outperforms previous methods on
model-based reinforcement learning,transformers,utilizes for improved sample efficiency
transformers,world models,results in more accurate
continuous representations,discrete properties,complicates modeling of
Reinforcement Learning (RL),Model-Based Reinforcement Learning (MBRL),is a type of
Model-Based Reinforcement Learning (MBRL),environment dynamics,learns
Model-Based Reinforcement Learning (MBRL),efficiency,improves
Model-Based Reinforcement Learning (MBRL),imagination training,enables
Model-Based Reinforcement Learning (MBRL),safe decision-making,allows
Model-Based Reinforcement Learning (MBRL),look-ahead search algorithms,utilizes for planning
Representation Learning,high dimensional environment state,captures simplified representation of
Dynamics and Reward Learning,environment dynamics,learns
Dynamics and Reward Learning,reward,learns
high dimensional environment state S,"Dynamics and Reward Learning f : S × A → S′, ψ : S × A × S′ → R",is input to
"Dynamics and Reward Learning f : S × A → S′, ψ : S × A × S′ → R",next state s′,predicts
"Dynamics and Reward Learning f : S × A → S′, ψ : S × A × S′ → R",reward,predicts
Policy Learning π : S → P(A),optimal actions,determines
Dreamer,MBRL agents,is a family of
Dreamer,three-step approach,follows
DreamerV1,recurrent state space model (RSSM),employed
DreamerV2,DreamerV1,improved version of
DreamerV2,discrete latent space,incorporates
DreamerV3,DreamerV2,builds on
DreamerV3,symlog predictions,uses
DreamerV3,regularisation techniques,uses
Dreamer variants,sample-inefficiency,suffer from
