node_1,node_2,edge
LATFORMER,lattice symmetry priors,incorporates
lattice symmetry priors,attention masks,incorporated in
attention masks,group action,implements
hypercubic lattice,transformation,undergoes
transformation,binary attention mask,implemented by
standard attention mechanism,attention weights,scaled using
attention weights,soft masks,scaled by
soft masks,convolutional network,generated by
LATFORMER,standard attention and transformers,requires fewer data than
Abstraction and Reasoning Corpus (ARC),LARC,language-complete instantiation of
ARC,general AI,important step towards
machine learning models,ARC tasks,struggle on
non-learning based approaches,machine learning models,outperform on ARC
solving ARC tasks,extreme generalization,requires
extreme generalization,core knowledge priors,achieved by accounting for
geometry priors,core knowledge priors,subset of
deep learning models,complex datasets,are capable of handling
inductive biases,neural networks,improve sample efficiency of
knowledge priors,neural networks,improve sample efficiency of
Core Knowledge priors,human intelligence,foundational for
Core Knowledge priors,developmental science,studied in
humans,core knowledge,endowed with
new flexible skills,core foundations,build on
AI systems,Core Knowledge priors,should incorporate
Abstraction and Reasoning Corpus (ARC),Core Knowledge priors,built on top of
Abstraction and Reasoning Corpus (ARC),AI benchmark,is an
Chollet (2019),domain-specific approach,posits developing
domain-specific approach,Core Knowledge priors,based on
Core Knowledge priors,developmental science,originates from
Core Knowledge priors,general AI progress,critical for
ARC,current machine learning techniques,cannot be approached by
ARC,Deep Learning,cannot be approached by
Core Knowledge priors,geometry and topology priors,includes
geometry and topology priors,deep learning architectures,incorporated into
neural networks,group actions,rendered invariant or equivariant to
group-invariant learning,transformations,systematically ignores
our perspective,group-invariant learning,complementary to
neural networks,geometric transformations,learn functions incorporating
group actions,symmetry group of a lattice,belongs to
"transformations of sequences, images, and grids",symmetry group of a lattice,fall in this category
attention and transformers,group actions,can learn in principle
attention and transformers,significant amount of data,require
