node_1,node_2,edge
Quantum algorithm,Zero-sum game,computes approximate Nash equilibrium of
Zero-sum game,Payoff matrix,has
Quantum algorithm,Nash equilibrium,outputs
Quantum algorithm,Quantum oracle,uses to access payoff matrix
Quantum algorithm,Dynamic Gibbs sampling,uses improved version of
Dynamic Gibbs sampling,Gibbs distribution,samples from
Quantum algorithm,Classical algorithm,improves upon runtime of
van Apeldoorn & Gilyén (2019),Quantum algorithm,prior work on
Grigoriadis & Khachiyan (1995),Classical algorithm,prior work on
quantum optimization,accuracy versus dimension-dependence tradeoffs,inherent in
quantum algorithms,zero-sum games,solve
zero-sum games,epsilon-approximate Nash equilibrium,computes
quantum algorithms,classical algorithms,compared to in terms of error tolerance dependence
quantum algorithms,classical representation of the solution,obtains at no additional asymptotic cost
van Apeldoorn & Gilyén (2019),quantum optimization tradeoffs,builds upon
Li et al. (2019),quantum optimization tradeoffs,builds upon
"van Apeldoorn & Gilyén, 2019",quantum data structures,designed
"Li et al., 2019",quantum data structures,designed
quantum data structures,algorithms for solving zero-sum games,implement
improved quantum algorithms,dynamic data structure problem,solve
dynamic data structure problem,sampling from a slowly-changing Gibbs distribution,involves
dynamic sampling problems,stochastic gradient methods,arise as component of
stochastic gradient methods,solving zero-sum games,used for
Gibbs sampling subroutine,"van Apeldoorn & Gilyén, 2019",developed in
new dynamic quantum data structure,Gibbs sampling subroutine,improves
new dynamic quantum data structure,sampling,performs
improved Gibbs sampler,quantum optimization algorithms,showcases algorithmic insights for
zero-sum game,matrix A,associated with
matrix A,payoff matrix,referred to as
