node_1,node_2,edge
Adaptively Perturbed Mirror Descent (APMD),Mirror Descent (MD) algorithm,is a variant of
Adaptively Perturbed Mirror Descent (APMD),payoff perturbation technique,proposes
Mirror Descent (MD) algorithm,monotone games,applied in
monotone games,gradient of payoff functions,has monotone
optimistic MD,last-iterate convergence,achieves
last-iterate convergence,Nash equilibrium,leads to
perturbation approach,payoff functions,perturbs
perturbation approach,slingshot strategy,based on distance from
Adaptively Perturbed Mirror Descent (APMD),slingshot strategy,updates
Adaptively Perturbed Mirror Descent (APMD),Nash equilibrium,finds
strategy profile space,diverse games,encompasses
diverse games,Cournot competition,includes
diverse games,λ-cocoercive games,includes
diverse games,concave-convex games,includes
diverse games,zero-sum polymatrix games,includes
learning algorithms,Nash equilibrium,compute
agents,MD (mirror descent),prescribed to play according to
MD (mirror descent),strategies with higher expected payoffs,chooses more likely
MD (mirror descent),regularization,prevents moving far away via
dynamics,equilibrium,converges to in average sense
average-iterate convergence,averaged strategy profile,refers to convergence of
actual trajectory,updated strategy profiles,fails to converge in
two-player zero-sum games,monotone games,is a specific class within
optimistic learning algorithms,recency bias,incorporates
optimistic learning algorithms,updated strategy profile,converges to equilibrium
optimistic learning algorithms,recency bias,incorporate
optimistic learning algorithms,last-iterate convergence,achieves
last-iterate convergence,Nash equilibrium,converges to
optimistic learning algorithms,noisy feedback,performs suboptimally with
noisy feedback,full feedback,contrasts with
optimistic Multiplicative Weights Update (OMWU),equilibrium,fails to converge to
payoff perturbation,last-iterate convergence,achieves
payoff perturbation,noisy feedback,works under
payoff perturbation,strongly convex penalties,introduces
payoff perturbation,approximate equilibria,converges to
magnitude of perturbation,Nash equilibrium,requires adjustment for convergence to
