node_1,node_2,edge
QBMK,Quantum-based Matching Kernels for Un-attributed Graphs,is_abbreviation_of
QBMK,Continuous-time Quantum Walk (CTQW),uses
QBMK,quantum Shannon entropies,computes_similarity_between
QBMK,aligned vertices,operates_on
QBMK,R-convolution graph kernels,addresses_shortcoming_of
QBMK,vertex-based matching kernels,overcomes_problem_of
QBMK,global and local structural characteristics,captures
graph kernels,similarity measure,defined_as
graph kernels,graph classification,used_for
C-Support Vector Machine (C-SVM),graph kernels,associated_with
graph kernels,similarity measure between graph structures,defined as
graph kernels,R-convolution,fall into the concept of
R-convolution,decomposed substructures of graphs,based on measuring similarity between
R-convolution graph kernels,paths,based on decomposed
R-convolution graph kernels,cycles,based on decomposed
R-convolution graph kernels,walks,based on decomposed
R-convolution graph kernels,subgraphs,based on decomposed
Structural Similarity Random Walk Kernel,random walks,measures similarity between
Pairwise-Distance Expansion Subgraph,Costa and Grave,introduced by
Pairwise-Distance Expansion Subgraph Kernel,layer-wise expansion subgraphs,based on
Weisfeiler-Lehman Subtree Kernel,subtree invariants,based on
subtree invariants,Weisfeiler-Lehman Isomorphism Test Method,extracted by
Wasserstein Weisfeiler-Lehman Subtree the Pyramid-Quantized Kernel,R-convolution graph kernels,is a type of
Shortest-Path Kernel,R-convolution graph kernels,is a type of
Isolation Graph Kernel,R-convolution graph kernels,is a type of
Graph Filtration Kernel,R-convolution graph kernels,is a type of
R-convolution graph kernels,local substructures of small sizes,tend to utilize
R-convolution graph kernels,global graph structures,fail to capture characteristics of
R-convolution graph kernels,structural correspondence information,ignore
