node_1,node_2,edge
Reinforcement Learning (RL),Partially Observable Markov Decision Processes (POMDPs),studied in the context of
Partially Observable Markov Decision Processes (POMDPs),revealing condition,learning under
revealing condition,observables,requires observables to reveal information about
observables,unobserved latent states,reveal information about
revealing POMDPs,PAC lower bounds,have
revealing POMDPs,regret lower bounds,have
PAC sample complexity,latent state-space dependence,includes
latent state-space dependence,fully-observable MDPs,is harder than in
multi-step revealing POMDPs,PAC sample complexity,has latent state-space dependence of at least Ω(S^1.5)
multi-step revealing POMDPs,regret,has polynomial sublinear regret at least Ω(T^(2/3))
rΘpSq scaling,fully-observable MDPs,applies to
polynomial sublinear regret,ΩpT 2{3q,lower bound is at least
single-step case,rOp T q regret,achieves
hard instance construction,distribution testing,adapts techniques from
distribution testing,RL literature,is new to
strongly B-stable PSRs,regret upper bounds,has sharp
single-step revealing POMDPs,strongly B-stable PSRs,is a special case of
Partial observability,Reinforcement Learning,is a central challenge in
Partially Observable Markov Decision Processes (POMDPs),fully observable counterpart,is more challenging than
long-horizon POMDPs,near-optimal policy,finding requires exponential samples
POMDPs,exponential samples,requires at least exponential number of samples in worst-case horizon length
exponential hardness,POMDPs,originates from lack of useful information about true underlying state
fully observable MDPs,polynomial samples,requires polynomially many samples without further assumptions
revealing condition,sample-efficient learning,permits sample-efficient learning in POMDPs
single-step revealing condition,emission probabilities,requires immediate emission probabilities to be well-conditioned
multi-step revealing condition,single-step revealing condition,generalizes the single-step case
revealing condition,observables,requires observables to reveal information about underlying latent state
