node_1,node_2,edge
Best arm identification,active experimentation,requires
Best arm identification,fixed confidence setting,considered in
algorithm,arms,selects
algorithm,stopping time,has random
stopping time,distribution,has
stopping time,light tails,desired to have
never-stopping event,standard algorithms,can happen for
exponential-tailed stopping time guarantee,polynomial tail bound,strictly better than
exponential-tailed stopping time guarantee,uniform sampling,better than exponential guarantee obtained by
meta algorithm,any fixed algorithm,takes in
fixed confidence algorithm,high probability stopping guarantee,has
meta algorithm,fixed confidence algorithm,takes as input
meta algorithm,exponential-tailed stopping time,produces
exponential-tailed stopping time,instance-dependent complexity,has matching
multi-armed bandit model,sequential decision-making,serves as framework for
best arm identification,multi-armed bandit model,core problem within
best arm identification,fixed confidence setting,can be performed in
best arm identification,fixed budget setting,can be performed in
fixed confidence setting,fixed budget setting,are contrasting settings
fixed confidence setting,A/B/../K testing,has conceptual connections to
adaptive fixed confidence best arm identification setting,fixed confidence setting,is a more general and theoretical version of
adaptive assignment,non-adaptive assignment,is compared to
adaptive assignment,sample complexity,results in lower
sample complexity,stopping time,describes behavior of
sample complexity guarantees,stopping time,do not sufficiently describe
expected sample complexity guarantees,stopping time,can have thick tail distribution
realized stopping time,expected stopping time,can be significantly larger than
