node_1,node_2,edge
Dynamic Metric Embedding,ℓp Space,embedding into
Weighted undirected graph G,ℓp Space,embedded into
Edge weight increases,Dynamic Metric Embedding,undergoes
Mapping ϕ,Vertices of graph G,maps from
Mapping ϕ,ℓp Space,maps to
Expected distance,Distance in G,within multiplicative factor of
Distortion,Multiplicative factor,referred to as
Dynamic algorithm,Expected distortion O(log² n),achieves
Dynamic algorithm,Total update time,has
Bourgain's result,Dynamic algorithms,extended to
Fully dynamic regime,Edge insertions and deletions,tolerates
Fully dynamic regime,Low distortion embedding,cannot maintain
low distortion embedding,metric spaces,maps between
metric space M,metric space M',embedded into
graph G,metric,represented using
shortest paths,graph G,distances correspond to
embedding,graph G,applied to
embedding,easy metric,maps into
distortion,embedding,introduced by
approximation factor,distortion,determined by
sparsest cut,low-distortion metric spaces,leverages embeddings into
bandwidth,low-distortion metric spaces,leverages embeddings into
buy-at-bulk,low-distortion metric spaces,leverages embeddings into
dynamic setting,graph G,subject to modification in
edge updates,graph G,undergoes dynamic sequence of
embedding,Euclidean space,targets
embedding,ℓp-metric space,targets
randomization,embedding,essential for
ℓp-metric space,Euclidean space,embedded into with minimal distortion
randomization,data structure,essential for attainability
"Bourgain, Johnson and Lindenstrauss",randomized decompositions of a graph,building blocks for
randomized decompositions of a graph,Euclidean space,maps input into
dynamic updates,graph G,undergoes
distortion,embedding,characterizes quality of
low-distortion embeddings,graph theoretic problems,simplify
metric embedding,finite metric spaces,maps into normed spaces
finite metric spaces,normed spaces,embedded into
local theory of Banach spaces,metric embedding,natural extension of
