node_1,node_2,edge
absence of lane markings,1,#78db57
acc,2,#db7857
accuracy score,3,#db5780
accurately determine the shape of each lane line,1,#78db57
accurately predicting,1,#78db57
accurately regress the bounding box,1,#78db57
aglob,4,#db5f57
attention is all you need,6,#a157db
attention mechanism,2,#db7857
baseline mfa hybrid mf1✓,7,#57db99
blurred lane lines,8,#dba957
blurred under night conditions,9,#91db57
cglob,4,#db5f57
channel attention,11,#57badb
clrnet,2,#db7857
clrnet (resnet101),2,#db7857
cnn,2,#db7857
conditional convolution,12,#db5799
condlanenet,2,#db7857
consistency,9,#91db57
context-aware attention,11,#57badb
cross layer refinement network,13,#8857db
culane dataset,2,#db7857
"culane test scenarios: curve, no line, crowded, night.",2,#db7857
curved polynomial parameters,14,#db57b2
cv,4,#db5f57
d,4,#db5f57
dataset,5,#57db80
deep layer aggregation,13,#8857db
deformable attention module,2,#db7857
deformable feature based attention mechanism detr,16,#db5768
deformable transformers,13,#8857db
detr,2,#db7857
difficult scenes,2,#db7857
dilated convolutions,13,#8857db
dla34 version of clrnet,2,#db7857
efficient,1,#78db57
efficient integration of features at different depth levels,1,#78db57
efficiently obtaining global context for lane detection,17,#db9057
efficiently obtains global context for lane detection,17,#db9057
end-to-end lane detection,13,#8857db
et al. 2019),2,#db7857
extreme lighting blurs lane,9,#91db57
f ''',18,#db57cb
f n,18,#db57cb
faded lane lines,1,#78db57
faster r-cnn,13,#8857db
feature map f'n,11,#57badb
feature map fn,11,#57badb
feature maps,14,#db57b2
feature pyramid networks,13,#8857db
fn,2,#db7857
fn,18,#db57cb
focus on local,13,#8857db
fololane,2,#db7857
fp,2,#db7857
fp and fn,19,#57db67
fpn,14,#db57b2
front-view image obtained by a vehicle camera,1,#78db57
global context,13,#8857db
global context extraction,20,#5fdb57
global context extraction head,13,#8857db
global context for lanes,1,#78db57
global extraction head,17,#db9057
global features,13,#8857db
global presence of lanes,1,#78db57
global semantic context,1,#78db57
globality,9,#91db57
ground truth point,22,#5770db
hard cases for lane detection,1,#78db57
hglnet,2,#db7857
higher-level global semantic context for lanes,1,#78db57
hybrid architecture,13,#8857db
individual feature vectors,1,#78db57
k,4,#db5f57
keypoint-based global association network,13,#8857db
keypoint-based methods,2,#db7857
keypoints,14,#db57b2
lane,9,#91db57
lane anchor,2,#db7857
lane blurring,13,#8857db
lane detection,13,#8857db
lane detection accuracy,25,#57d3db
lane detection methods,2,#db7857
lane estimation via deep polynomial regression,26,#5757db
lane instances,2,#db7857
lane line,2,#db7857
lane lines,14,#db57b2
lane localization,1,#78db57
lane marker,13,#8857db
lane position,27,#d357db
lane prior,2,#db7857
lane prior head,14,#db57b2
lane representation,9,#91db57
laneatt,2,#db7857
lanenet,2,#db7857
lanes,13,#8857db
lcls,18,#db57cb
line-cnn,28,#dbc257
llamas,2,#db7857
llamas valid set,2,#db7857
local,14,#db57b2
local feature modeling,13,#8857db
local features,1,#78db57
locality,9,#91db57
lreg,18,#db57cb
mf1 measure,30,#57dbb2
mfa,1,#78db57
multi-head attention module,2,#db7857
multi-hierarchy feature aggregator (mfa),1,#78db57
multi-scale context aggregation,13,#8857db
multi-scale feature maps,2,#db7857
multi-scale visual features,14,#db57b2
non-local neural networks,24,#5789db
object classification,1,#78db57
object detection,13,#8857db
occluded areas,9,#91db57
performance improvement in difficult scenarios,13,#8857db
perspective transformer,31,#ba57db
phi (fn ⊕ (w c ⊗ f '')),18,#db57cb
polylanenet and laneatt,2,#db7857
pq,4,#db5f57
predictions and ground truth,18,#db57cb
quadratic complexity growth in relation to the feature map size,2,#db7857
rcg,4,#db5f57
real-time attention-guided lane detection,13,#8857db
recurrent feature-shift aggregator,13,#8857db
resa,2,#db7857
resnet,32,#57a2db
resnet-101,2,#db7857
resnet-18,2,#db7857
resnet-34,2,#db7857
resnet18,2,#db7857
resnet18 version of condlanenet,2,#db7857
rl,4,#db5f57
roads without lane marking,9,#91db57
row-anchor-based methods,10,#aadb57
scnn,2,#db7857
segmentation-based methods,2,#db7857
semantic segmentation,13,#8857db
shifted windows,23,#6f57db
small set of key sampling points around a reference,2,#db7857
spatial as deep,13,#8857db
spatial attention feature map generated by context-aware attention,11,#57badb
start point coordinates,18,#db57cb
tabelini et al. 2021a),2,#db7857
task-specific context decoupling,13,#8857db
traffic scene understanding,13,#8857db
transformer,2,#db7857
ufld,21,#dbdb57
ufld and resa,2,#db7857
ultra fast structure-aware deep lane detection,13,#8857db
unsupervised labeled lane markers,29,#57dbca
visual evidence for lane presence,13,#8857db
w c,18,#db57cb
warm restarts,15,#c3db57
xl,4,#db5f57
zheng et al. 2022),2,#db7857
φ,4,#db5f57
new start-of-the-art,3,#db5780
transformer architecture,6,#a157db
✓✓,7,#57db99
shadow and dazzle scenarios,8,#dba957
top-to-down lane detection framework,12,#db5799
conditional convolution and row anchor-based formulation,2,#db7857
already saturated,5,#57db80
slimmer object detection,16,#db5768
lower,19,#57db67
multi-layer feature maps,20,#5fdb57
self-attention,17,#db9057
true positive,22,#5770db
multiple challenging scenarios,25,#57d3db
polylanenet,26,#5757db
precise,27,#d357db
line anchor representation,28,#dbc257
valid set,30,#57dbb2
effectiveness,1,#78db57
hierarchy of local feature ranges,1,#78db57
image classification,24,#5789db
openlane benchmark,31,#ba57db
pre-trained backbone,32,#57a2db
certain on-row positions in the image,10,#aadb57
hierarchical vision transformer,23,#6f57db
global context features,21,#dbdb57
maps,29,#57dbca
decoupled weight decay regularization,15,#c3db57
