node_1,node_2,edge
Ehrenfeucht-Haussler Rank,Boolean function,is a notion of rank for
Chain of Thought (CoT) steps,single-layer Transformer with hard attention,minimum number required to compute a function
rank of a function f,minimum number of Chain of Thought (CoT) steps,corresponds to
ℓ-fold function composition,ℓ CoT steps,necessitates exactly
identifying the position of the k-th occurrence of 1 in a Boolean sequence,k CoT steps,requires
Ehrenfeucht-Haussler Rank,PAC learning,enables quasipolynomial-time learning algorithms for
class of Boolean functions with rank at most r,properly PAC-learnable in polynomial time,is
Pudlák & Impagliazzo,rank,further characterized through Prover-Delayer games
rank,function,characterizes the minimum number of Chain of Thought steps needed
Chain of Thought (CoT) steps,single-layer Transformer,required to compute a function
Transformer architecture,hard attention mechanism,based on
hard attention mechanism,soft attention mechanism,theoretical abstraction of
Prover-Delayer games,Boolean relations,used to analyze
rank,proof complexity,plays a significant role in
Hard attention,theoretical studies,used in
Hard attention,formal analysis,amenable to
Hard attention,practical models,captures essence of
Transformer architecture,attention layers,built upon
Transformer architecture,decoder,built upon
attention layer,input sequence,performs attention on
attention layer,vector representations,generates
Transformers,sequence generation,common application of
decoder,input sequence,processes
decoder,output vectors,generates
CoT steps,decoder iterations,refers to
rank of a function f,minimal number of iterations,is
single-layer decoder,one hard-attention head,contains
single-layer decoder,computes f,with minimal iterations
