node_1,node_2,edge
Knowledge Distillation,Lightweight Object Detectors,enhances performance of
Multi-Teacher Progressive Distillation,Knowledge Distillation,is a sequential approach to
Teacher Detectors,Student Detector,transfer knowledge to
Progressive Distillation,Teacher Detectors,uses a sequence of
Transformer-based Teacher Detectors,Convolution-based Students,distill knowledge to
ResNet-50 based RetinaNet,Mask R-CNN,performance boosted from 36.5% to 42.0% AP
Edge Computing,Lightweight Object Detectors,requires
Vision-for-Robotics,Lightweight Object Detectors,requires
Multi-Teacher Progressive Distillation (MTPD),student detection performance,leads to state-of-the-art
convolution-based detector,Transformer-based detector,switching teacher model from
teacher-student pair,architectural difference,has
multiple teacher detectors,capacity gap,progressively distilling knowledge from mitigates
ResNet-50 based RetinaNet,MS COCO benchmark,performance boosted from 36.5% to 42.0% AP on
Mask R-CNN,MS COCO benchmark,performance boosted from 38.2% to 42.5% AP on
deep neural models,safety-critical real-time applications,deploying in is challenging
lightweight architectures,computational complexity,training reduces
knowledge distillation,lightweight architectures,trains
knowledge distillation,large model,compresses learned information from
knowledge distillation,small model,compresses learned information into
object detection,knowledge distillation,presents unique challenges for
object detection,multi-task heads,operates with
multi-task heads,classification,includes
multi-task heads,box/mask regression,includes
classification,detection,differs from
distillation methods for classification,detection,not directly applicable to
detector distillation,advanced distillation loss functions,designs
detector distillation,features,transfers
teachers,students,transfers features from
computational complexity,knowledge distillation,addressed by
massive memory/storage demands,knowledge distillation,addressed by
