node_1,node_2,edge
Transformers,Mean-field dynamics,used to approximate
Mean-field dynamics,Interacting particle systems,describes the collective behavior of
Interacting particle systems,Collective behavior,exhibit
Particles,Permutation-equivariant dynamics,lead to
Cucker-Smale model,Flocking and milling,models
Mean-field system,Training two-layer neural networks,models
Finite-dimensional transformer,Finite-dimensional vector field,approximates
Expected transformer,Infinite-dimensional mean-field vector field,L2 distance bounded by function of number of particles
True mean-field dynamics,Transformer-obtained dynamics,distance bounded by theoretical bounds
dynamical system models,physical processes,are models for
machine learning,identification of dynamical system models,is a fundamental application of
systems of particles,collective behaviors,exhibit
collective behaviors,swarming,includes
collective behaviors,flocking,includes
collective behaviors,opinion dynamics,includes
collective behaviors,consensus,includes
particles,identical dynamics,follow
dynamics,permutation-equivariant,are
continuum limit,mean-field models,results in
mean-field models,statistical physics,rooted in
particles,probability measures,modeled using
mean-field dynamics,particle trajectories,learned via
particles,probability measures,modeled using
mean-field dynamics,particle trajectories,learned via
mean-field dynamics,transformers,learned using
vector field F,mean-field behavior,describes
mean-field equation,finite particle-level model,approximated by
empirical distribution,n-particle system,given by
mean-field dynamics,particle-level dynamics,learned by
Pham & Warin (2023),neural network,constructed via binning
neural network,vector field,approximates
Feng et al. (2024),kernel-based method,presents
kernel-based method,interacting particle systems,identifies dynamics of
Messenger & Bortz (2022),SINDy algorithm,presents
SINDy algorithm,mean-field dynamics,identifies
Kratsios et al. (2022),probabilistic transformer,constructed
probabilistic transformer,additional constraints,satisfies
