node_1,node_2,edge
Nonlinear filtering,conditional distribution,computes
Nonlinear filtering,stochastic dynamical system,applied to state of
Nonlinear filtering,noisy partial observations,given history of
sequential importance resampling (SIR) particle filters,weight degeneracy,suffers from
Brenier optimal transport (OT) map,prior distribution,estimated from
Brenier optimal transport (OT) map,posterior distribution,maps to
OT formulation,analytical form of the likelihood,does not require
OT method,neural networks,harnesses approximation power of
OT method,stochastic optimization algorithms,employs
OT method,SIR particle filter,compared to
OT method,ensemble Kalman filter,compared to
state,observation,related to
hidden state Xt,observation Yt,follows probabilistic relationship Yt ∼ h(· | Xt)
hidden state Xt,previous hidden state Xt-1,follows probabilistic relationship Xt ∼ a(· | Xt-1)
initial state X0,probability distribution π0,has distribution π0
filtering problem,conditional probability distribution πt,computes πt of hidden state Xt given observation history Yt
conditional distribution πt,posterior or belief,is also referred to as
nonlinear and non-Gaussian setup,posterior πt,does not admit explicit analytical solution
sequential importance re-sampling (SIR) particle filters,posterior πt,approximates with weighted empirical distribution of particles
particle filters,particle locations and weights,updates according to algorithm
nonlinear filtering problems,multi-modal distributions,focuses on settings with highly non-Gaussian and multi-modal distributions
filtering problem,hidden Markov process,formulated using
hidden Markov process,state of a dynamical system,represents
SIR PF,filtering problem,provides exact solution to
SIR PF,curse of dimensionality,suffers from
propagation step,dynamic model,simulates according to
conditioning step,Bayes's rule,implements
conditioning step,observation model,according to
curse of dimensionality,likelihood,causes degeneracy of
likelihood,small support,concentrated on
