node_1,node_2,edge
Extrapolated Random Tree for Regression (ERTR),Homothetic Random Tree for Regression (HRTR),extrapolates estimations from
Homothetic Random Tree for Regression (HRTR),target function,converges to as homothetic ratio approaches zero
Extrapolated Random Tree for Regression (ERTR),linear regression model,uses to extrapolate HRTR estimations
Extrapolated Random Tree for Regression (ERTR),Random Tree for Regression (RTR),"outperforms in H""older space C^{k,α} for k ≥ 1"
Extrapolated Random Tree for Regression (ERTR),"H""older space C^{k,α}",achieves optimal convergence rates in
Random Tree for Regression (RTR),"H""older space C^{k,α}",has strictly slower convergence rate than ERTR for k ≥ 1
Extrapolated Random Tree for Regression (ERTR),ensemble methods,extended to as base learner
Ensemble of trees methods,regression problems,used for
Ensemble of trees methods,tree methods,inherits advantages from
tree methods,weak distributional assumption,characterized by
tree methods,computational efficiency,characterized by
tree methods,interpretability,characterized by
regression trees,convergence rate,has theoretical
random trees,Lipschitz functions,attains mini-max optimal rate for
Mondrian trees,Lipschitz functions,derived similar results for
bayesian additive regression trees,prior distribution,imposes
bayesian additive regression trees,optimal convergence rate,achieves
bayesian additive regression trees,Lipschitz functions,achieves optimal convergence rate for
prior distribution,partitioning process,imposed on parameters of
prior distribution,optimal convergence rate,achieves
optimal convergence rate,Lipschitz functions,for
standard regression trees,piece-wise constant functions,based on
standard regression trees,Lipschitz smooth functions,can only adapt to
high-order smoothness,target function,of
smooth estimations,soft assignment,achieved by
soft assignment,hard assignment,instead of
data point,all leaves,assigned to
class membership,data point,assigned to
final prediction,smooth combination,is
smooth combination,prediction at each node,of
smooth/flexible tree structures,high-order smoothness,facilitate adaptation to
Bayesian additive regression tree,soft tree ensembles,utilized
Bayesian additive regression tree,mini-max rate,derived
mini-max rate,arbitrary smoothness,for
Bayesian nature,heavy computational burden,yields
choice of priors,strongly restricted,is
