node_1,node_2,edge
stochastic linear bandits,differential privacy,studied under the additional requirement of
stochastic linear bandits,robustness,studied under the additional requirement of
stochastic linear bandits,batched observations,studied under the additional requirement of
adversary,observed rewards,randomly chooses a constant fraction of and replaces with arbitrary numbers
arm elimination algorithm,differential privacy,has differentially private and robust variants using logarithmic batch queries
local differential privacy (LDP),reward reporting,model where every reward in each round is reported by a potentially different client
second privacy model,action ownership,model where every action is owned by a different client who may aggregate rewards
second privacy model,aggregate response,client privatizes the aggregate response instead
algorithms,differential privacy,first simultaneously providing
algorithms,adversarial robustness,first simultaneously providing
stochastic linear bandits problem,algorithms,addressed by
learner,actions,chooses a sequence of
learner,regret,aims to minimize
regret,rewards,defined as the difference between the rewards obtained by
learner,regret,minimizes
regret,difference between rewards obtained and best possible action in hindsight,defined as
learner,exploration,balances between
learner,exploitation,balances between
exploration,choosing actions that reveal information,defined as
exploitation,repeating actions with highest rewards,defined as
bandit algorithms,rewards,result from interactions with physical entities
rewards,privacy concerns,raise
responses of an individual to medical treatments,privacy-sensitive health information,can inadvertently reveal
learning algorithms,privacy of reward sequences,must preserve
learning algorithms,privacy of reward sequences,must preserve
observations,failures or corruptions,are prone to
corruptions,adversaries,are modeled by
adversaries,observed rewards,can tamper with
adversarial corruptions,strategic hijacking,can be
adversarial corruptions,random misclicks,can be
robust learning algorithms,adversarial corruptions,succeed in presence of
robust private policies,attention,has drawn
bandits model,robust and private policy,lacks provably
learner,actions in parallel,performs
batch policies,parallelization,must balance between
batch policies,information exchange,must balance between
