node_1,node_2,edge
Optimistic Online Mirror Descent (OMD),Stochastically Extended Adversarial (SEA) model,investigates theoretical guarantees for
Optimistic Online Mirror Descent (OMD),convex and smooth functions,achieves O(√σ²₁:ₜ + √Σ²₁:ₜ) regret bound for
Optimistic Online Mirror Descent (OMD),strongly convex and smooth functions,"establishes O(min{log(σ²₁:ₜ + Σ²₁:ₜ), log T}) bound for"
Optimistic Online Mirror Descent (OMD),exp-concave and smooth functions,achieves O(d log(σ²₁:ₜ)) bound for
Optimistic Online Mirror Descent (OMD),dynamic regret,establishes dynamic regret for convex and smooth functions
Stochastically Extended Adversarial (SEA) model,stochastic and adversarial online convex optimization,is an interpolation between
optimistic follow-the-regularized-leader (FTRL),Stochastically Extended Adversarial (SEA) model,was previously analyzed for
cumulative stochastic variance σ²₁:ₜ,cumulative adversarial variation Σ²₁:ₜ,are key parameters in regret bounds for convex functions
maximal stochastic variance σ²_max,maximal adversarial variation Σ²_max,are used in regret bounds for strongly convex functions
regret,convex and smooth functions,is defined for
regret,non-stationary online scenarios,is more favorable in
Online convex optimization (OCO),online learning,is a fundamental framework for
Online convex optimization (OCO),adversarial online convex optimization,can be divided into
Online convex optimization (OCO),stochastic online convex optimization (SCO),can be divided into
adversarial online convex optimization,loss functions,assumes loss functions are chosen arbitrarily
adversarial online convex optimization,regret,aims to minimize
stochastic online convex optimization (SCO),loss functions,assumes loss functions are i.i.d.
stochastic online convex optimization (SCO),excess risk,aims to minimize
Stochastically Extended Adversarial (SEA) model,nature,chooses distribution Dt in the model
Stochastically Extended Adversarial (SEA) model,learner,suffers loss ft(xt) in the model
SEA model,adversarial OCO,reduces to
SEA model,SCO,reduces to
SEA model,intermediate settings,reduces to
cumulative stochastic variance σ2 1:T,cumulative adversarial variation Σ2 1:T,used together to bound expected regret
optimistic follow-the-regularized-leader (FTRL),expected regret bound,enjoys O(√(σ2 1:T) + √(Σ2 1:T)) for convex and smooth functions
optimistic FTRL,SCO,derives excess risk bound for
optimistic FTRL,adversarial OCO,derives gradient-variation regret bound for
strongly convex case,Sachs et al. (2022),established weak bound of O((σ2_max + Σ2_max) log T)
maximal stochastic variance σ2_max,maximal adversarial variation Σ2_max,used instead of cumulative counterparts in strongly convex bound
