node_1,node_2,edge
Posterior Predictive Density (PPD),Simple Monte Carlo (MC) estimator,estimated by
Simple Monte Carlo (MC) estimator,Signal-to-noise ratio (SNR),has low signal-to-noise ratio
Signal-to-noise ratio (SNR),mismatch between training and test data,decays with increase in
Signal-to-noise ratio (SNR),dimensionality of latent space,decays with increase in
Signal-to-noise ratio (SNR),size of test data relative to training data,decays with increase in
Low SNR,unreliable PPD estimates,leads to
Adaptive importance sampling,mitigating low SNR problem,explored as approach for
Adaptive importance sampling,variational proxy to SNR,maximizes
predictive posterior density (PPD),test data set,defined for
PPDq,approximate posterior qD(z),depends on
PPDq,likelihood p(D*|z),integral of product with
PPDq,approximate inference,used in
PPDq,evaluating inference methods,used for
simple Monte Carlo (MC) estimator,PPDq,estimates
log RK,log PPDq,estimates
log RK,biased estimator,is a
Jensen's inequality,log RK,implies bias of
log RK,log PPDq,used to estimate
log RK,biased estimator,is a
bias,RK's variance,related to
bias,unreliable PPDq estimates,leads to
PPDq estimation,simple MC,unreliable for
approximate posterior qD,variational inference,produced from
variational inference,Gaussian family,uses
variational inference,flow-based family,uses
log PPDq estimates,user-preference model,for
user-preference model,MovieLens-25M dataset,evaluated on
bias,increasing curves,indicated by
comparisons,two VI methods,between
comparisons,unreliable,are
main contribution,better understanding,develops
